"year","gdp","gdp_fy","gdp_wages","cpiu","cpiu_irs","ccpiu_irs","awi","tsy_10y","rev","rev_iit","rev_payroll","rev_corp","rev_excise","rev_estate","rev_customs","rev_misc","outlays","outlays_disc","outlays_mand","outlays_mand_oasdi","outlays_mand_health","outlays_mand_other","outlays_ni","unmarried_0","unmarried_1","unmarried_2","unmarried_3","unmarried_4","unmarried_5","unmarried_6","unmarried_7","unmarried_8","unmarried_9","unmarried_10","unmarried_11","unmarried_12","unmarried_13","unmarried_14","unmarried_15","unmarried_16","unmarried_17","unmarried_18","unmarried_19","unmarried_20","unmarried_21","unmarried_22","unmarried_23","unmarried_24","unmarried_25","unmarried_26","unmarried_27","unmarried_28","unmarried_29","unmarried_30","unmarried_31","unmarried_32","unmarried_33","unmarried_34","unmarried_35","unmarried_36","unmarried_37","unmarried_38","unmarried_39","unmarried_40","unmarried_41","unmarried_42","unmarried_43","unmarried_44","unmarried_45","unmarried_46","unmarried_47","unmarried_48","unmarried_49","unmarried_50","unmarried_51","unmarried_52","unmarried_53","unmarried_54","unmarried_55","unmarried_56","unmarried_57","unmarried_58","unmarried_59","unmarried_60","unmarried_61","unmarried_62","unmarried_63","unmarried_64","unmarried_65","unmarried_66","unmarried_67","unmarried_68","unmarried_69","unmarried_70","unmarried_71","unmarried_72","unmarried_73","unmarried_74","unmarried_75","unmarried_76","unmarried_77","unmarried_78","unmarried_79","unmarried_80","unmarried_81","unmarried_82","unmarried_83","unmarried_84","unmarried_85","unmarried_86","unmarried_87","unmarried_88","unmarried_89","unmarried_90","unmarried_91","unmarried_92","unmarried_93","unmarried_94","unmarried_95","unmarried_96","unmarried_97","unmarried_98","unmarried_99","unmarried_100","married_0","married_1","married_2","married_3","married_4","married_5","married_6","married_7","married_8","married_9","married_10","married_11","married_12","married_13","married_14","married_15","married_16","married_17","married_18","married_19","married_20","married_21","married_22","married_23","married_24","married_25","married_26","married_27","married_28","married_29","married_30","married_31","married_32","married_33","married_34","married_35","married_36","married_37","married_38","married_39","married_40","married_41","married_42","married_43","married_44","married_45","married_46","married_47","married_48","married_49","married_50","married_51","married_52","married_53","married_54","married_55","married_56","married_57","married_58","married_59","married_60","married_61","married_62","married_63","married_64","married_65","married_66","married_67","married_68","married_69","married_70","married_71","married_72","married_73","married_74","married_75","married_76","married_77","married_78","married_79","married_80","married_81","married_82","married_83","married_84","married_85","married_86","married_87","married_88","married_89","married_90","married_91","married_92","married_93","married_94","married_95","married_96","married_97","married_98","married_99","married_100"
1980,2857.325,2791.9,1373.425,0.256951558512829,0.249209791649785,,0.173327988275403,11.46,517.112,244.069,157.803,64.6,24.329,6.389,7.174,12.748,590.941,276.323,262.085,117.053,44.967,100.065,52.533,3614912,3469594,3444933,3275560,3264919,3295340,3264969,3375758,3718653,3841882,3730913,3672513,3683714,3758438,3899418,4160198,4210574,4187040,4104704,3787977,3429275,3086636,2793444,2443436,2124002,1803783,1565684,1381505,1239010,1052936,983730,916196,892551,756124,597348,589271,598314,558668,497276,452886,434866,441363,418825,401778,393513,396536,380355,381086,402410,415886,424917,439007,451262,453961,461520,474227,477219,482418,500354,503746,496962,497104,521370,528632,539834,554333,572594,579315,586769,592625,588428,577694,573769,569712,559558,546759,529719,509112,502131,502125,466173,430093,415763,386739,356340,323736,294637,255446,222732,181121,141383,116812,95327,73933,56025,40156,28764,20043,13612,9009,14576,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22639,32280,60415,161251,364499,632048,1055130,1389318,1730246,1979229,2177284,2473879,2599543,2710226,2800303,2688425,2841565,2893068,3050642,2775684,2336571,2435887,2566130,2471016,2261676,2110927,2059716,2107788,2015282,1951115,1929050,1956386,1877277,1869915,1948317,1975762,1972295,1984249,1990007,1958359,1952427,1962296,1918388,1873602,1864089,1786811,1670672,1580957,1558658,1472420,1398491,1329374,1268949,1188191,1114995,1045956,958874,868275,793185,721295,646496,573788,505454,439261,390273,351382,292781,242030,209408,174130,144791,117911,96232,75097,58893,43281,30557,22986,17083,12101,8355,5492,3631,2335,1473,904,957
1981,3207.025,3133.225,1511.4,0.283618794912266,0.277179376975369,,0.190775669983838,13.91083333,599.272,285.917,182.72,61.137,40.839,6.787,8.083,13.789,678.241,307.913,301.562,137.881,54.76,108.921,68.766,3661107,3613874,3470745,3448248,3279703,3269466,3300340,3273172,3387032,3731179,3855014,3751688,3691103,3705257,3759263,3912675,4159524,4138046,4022504,3870267,3426626,3156270,2826753,2566071,2248074,1875406,1663878,1453809,1297820,1178179,998763,956967,895151,877703,747796,594380,595419,606784,567411,506416,463442,448407,453878,429660,411615,403773,407695,392648,395166,417718,430964,440320,452804,462899,464511,471618,484694,489394,497260,517348,519908,513823,514758,538659,545973,557086,570949,586628,590512,594647,598535,594416,582836,577917,571472,560023,544042,524545,501397,491352,487794,449142,410586,392934,361668,329625,295939,265776,227197,195229,155958,119662,97132,77845,59295,44123,31040,21810,14901,9919,16143,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20463,28429,57029,152646,343939,619117,1003273,1346247,1655324,1966152,2183730,2431526,2623602,2717571,2798557,2866552,2743831,2876220,2913084,3068203,2784471,2338757,2431378,2556536,2460147,2252159,2096550,2048109,2091271,2000546,1936515,1914278,1936632,1857924,1850350,1924568,1944262,1943300,1954566,1961094,1931562,1922540,1925302,1880427,1835244,1822217,1740356,1627329,1535745,1504322,1417287,1343737,1276171,1213929,1133429,1058156,987872,903720,814536,739673,667370,595399,524732,458644,395254,348078,310398,256121,209692,179686,147785,121201,97201,78182,60092,46362,33836,23519,17402,12698,8827,5980,3853,2494,1580,975,1047
1982,3343.8,3313.35,1587.5,0.301085055010142,0.298988838072731,,0.201278297860535,13.00166667,617.766,297.744,201.498,49.207,36.311,7.991,8.854,16.161,745.743,325.952,334.759,153.916,62.703,118.14,85.032,3686472,3660711,3616843,3473313,3453069,3285280,3275303,3307014,3283020,3400155,3745270,3869704,3773925,3711057,3709548,3776918,3910764,4097096,3985614,3801523,3527287,3160616,2907484,2599368,2359699,1991027,1721013,1539293,1361627,1231705,1118862,968237,936163,879035,868634,745049,600583,605052,617344,578431,519817,477690,463173,466779,441483,423384,416817,421428,407310,410850,434272,445908,454420,464710,473648,475587,483604,497618,504783,515189,536288,537743,532994,534227,556579,563026,573042,585779,598655,600277,601535,603896,599873,587416,581005,571356,558284,539271,517166,491296,478130,470929,429738,389044,368585,335794,302583,268177,237587,200242,169080,132882,100188,79895,62931,47120,34445,23786,16397,10990,18081,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18579,25262,50451,144800,326244,584550,984114,1280041,1614082,1891015,2182843,2451106,2592326,2758397,2816183,2869519,2931443,2775745,2904985,2928235,3080219,2787862,2331884,2423427,2544783,2446937,2238315,2078409,2035103,2074120,1984462,1919457,1896167,1913742,1835458,1828363,1898773,1912124,1914671,1925726,1931931,1902874,1889410,1884635,1837905,1792370,1777023,1690746,1579655,1486731,1447737,1360722,1288651,1223218,1159489,1078774,1001194,929293,847741,760024,686058,614497,545727,477266,413851,353622,308466,272363,222578,180482,153028,124204,100368,79339,62829,47464,36408,26200,17918,13044,9366,6405,4267,2709,1728,1074,1176
1983,3634.025,3536,1677.5,0.31059792881345,0.310024635094353,,0.211083650089268,11.105,600.562,288.938,208.994,37.022,35.3,6.053,8.655,15.6,808.365,353.31,365.247,168.513,70.23,126.504,89.808,3736715,3696166,3662794,3620413,3476350,3458213,3291043,3281744,3314285,3293227,3412685,3758560,3883532,3795359,3713300,3727373,3777892,3850793,3955707,3777164,3480397,3274939,2917131,2687292,2392069,2098238,1826192,1588603,1442837,1294350,1172252,1085122,944961,920851,868439,865562,752074,608793,614964,628255,591994,535142,491057,476281,478475,453200,435843,430216,435323,421479,425863,449067,458038,465422,474604,483643,487124,496538,512138,521459,533252,555026,555821,551978,552618,572641,577633,586454,598185,608830,608611,607343,608225,604340,590550,581911,568803,554304,532141,507320,478860,462572,451694,408316,366079,343482,309661,275717,241289,210963,174825,145458,112564,83463,65437,50638,37225,26704,18099,12240,20448,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16972,22776,45781,129795,310677,555116,925277,1257700,1534197,1854876,2107545,2455132,2626364,2730688,2864435,2889169,2932929,2969650,2799033,2926827,2936514,3084827,2780121,2321696,2413826,2531444,2430067,2221524,2060137,2022779,2057259,1967565,1900847,1876810,1889713,1812551,1806108,1873590,1881566,1887949,1897964,1902646,1872718,1854157,1840983,1792506,1747662,1729903,1638485,1529841,1436742,1391037,1304759,1234384,1170781,1104996,1023668,943705,870380,791354,705664,633357,563002,497209,431353,370977,314130,271411,237368,192127,154162,129048,103277,82327,64102,49912,37593,28461,20199,13604,9736,6876,4622,3028,1888,1186,1326
1984,4037.65,3949.175,1844.925,0.32416547004591,0.322397310139972,,0.223492081629126,12.43833333,666.438,298.415,239.376,56.893,37.361,6.01,11.37,17.013,851.806,379.447,361.257,176.052,76.07,109.135,111.102,3698139,3745316,3709044,3666787,3625264,3480370,3464196,3297736,3288943,3322076,3303828,3425318,3771965,3897463,3801084,3728805,3729915,3725731,3721054,3762078,3477144,3244192,3041274,2697809,2482560,2134951,1922696,1685643,1488170,1374795,1235535,1136571,1059978,927718,911591,864459,873437,761772,617434,625398,641992,607815,549706,502788,488325,490154,465619,448530,443639,448539,434897,439307,461304,467240,474525,483599,493878,499546,511085,527920,538184,550960,573793,573267,569577,569162,586225,589630,597365,608587,617206,615376,611606,610857,606497,590679,579577,563186,547022,521485,493885,462682,443098,428567,383557,340445,316008,281462,247336,213463,183238,149435,122248,92969,67724,52170,39629,28582,20109,13363,22702,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15778,20620,42254,119684,279310,529418,876981,1181406,1513391,1766430,2082015,2375428,2642728,2778203,2837862,2942715,2954219,2973017,2999590,2816519,2942770,2938241,3078449,2769545,2310902,2403629,2515156,2410702,2205133,2043123,2011004,2039789,1949350,1881327,1856664,1865623,1789600,1784456,1849910,1852947,1861943,1869602,1871314,1839769,1815334,1794184,1745093,1700988,1680091,1584401,1478918,1385865,1334247,1248885,1179799,1117105,1048961,966785,884578,809983,733661,650684,580516,511681,449134,386264,329112,275945,236059,204368,163572,129491,106834,84245,66070,50505,39237,29128,21737,15186,10057,7083,4927,3258,2096,1280,1471
1985,4339,4265.125,1982.525,0.335601711880628,0.334586492123473,,0.233014035769711,10.62333333,734.037,334.531,265.163,61.331,35.992,6.422,12.079,18.519,946.344,415.792,401.074,186.432,86.742,127.9,129.478,3736174,3707744,3756145,3723360,3671898,3631270,3485465,3470947,3305254,3296805,3330468,3314595,3438112,3785558,3897084,3819499,3729365,3682077,3608972,3544813,3483710,3255924,3021806,2824871,2489752,2229507,1953367,1772805,1580629,1418531,1316434,1198019,1109726,1041432,916484,909373,870619,884170,771821,626441,638454,658031,622715,562481,513352,500401,502508,478121,461010,456314,460928,446805,450433,470936,474753,482895,492985,505193,513738,527001,543893,554576,568550,591782,589185,585388,583612,597505,599531,606663,617536,624305,621040,614672,611851,606332,588135,574548,554659,536700,507993,477677,443776,421035,403198,357159,313499,287490,252818,219196,185657,156807,125729,101070,75494,53985,40812,30407,21497,14822,24981,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14488,18955,39281,112429,258761,475950,834061,1119685,1423115,1752885,1988112,2357864,2567643,2804424,2894353,2914017,3011031,2997532,3003834,3022659,2827761,2951310,2929310,3068597,2758097,2299410,2390358,2495954,2391653,2189942,2026717,1998582,2021028,1930396,1861317,1836565,1841598,1767317,1764159,1827903,1825342,1835841,1839806,1837614,1803382,1773440,1745650,1696156,1652134,1628742,1529903,1427581,1334827,1277724,1192916,1124429,1062303,991847,908874,824862,749734,676648,596722,528688,461802,402665,343067,289531,240408,203599,174266,137531,107207,87107,67574,52009,39722,30404,22218,16303,11206,7299,5053,3454,2246,1415,1616
1986,4579.625,4526.25,2102.325,0.342125568062819,0.343184452748395,,0.239930140334379,7.6825,769.155,348.959,283.901,63.143,32.919,6.958,13.327,19.948,990.382,438.52,415.845,196.547,93.44,125.858,136.017,3832893,3747967,3719044,3768545,3739017,3678199,3638387,3491310,3478672,3313649,3305444,3339652,3325776,3451223,3786841,3908450,3822696,3681504,3573047,3448962,3295671,3278504,3044797,2811893,2615394,2239578,2043241,1798825,1662590,1509879,1360083,1277258,1169835,1089760,1029488,912579,917170,879462,895202,782231,637937,653736,673094,635667,574011,523884,513090,514685,490111,472490,468052,471705,456423,459176,478953,481376,491508,503410,518278,529316,543197,559397,570482,585016,608063,603146,599182,596093,607019,608116,614638,625266,630281,625373,615829,610258,603296,582843,566557,543030,523188,491180,458022,421554,395969,375339,328832,285092,258047,223836,190253,158418,131388,103394,81597,59840,41961,31098,22701,15722,27321,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12464,17156,37330,106504,244161,441593,746612,1065238,1352184,1654305,1987003,2252835,2567469,2733050,2926405,2976062,2978717,3059791,3031122,3027326,3038546,2831086,2949196,2917091,3057789,2745762,2284980,2374235,2477066,2373928,2175389,2009663,1984758,2001507,1910876,1841251,1816328,1818012,1746128,1745104,1806293,1797230,1807846,1807196,1800182,1763659,1729354,1695529,1645344,1602100,1576968,1475268,1375939,1283432,1220863,1136081,1067978,1006084,933286,849706,764684,689956,620338,543539,477951,413432,357748,301719,252070,207101,173354,146347,113722,87235,69638,52922,40748,30634,23065,16580,11969,8088,5185,3530,2368,1506,1771
1987,4855.25,4767.65,2256.275,0.35436754500642,0.352254252675904,,0.25523155939577,8.384166667,854.287,392.557,303.318,83.926,32.457,7.493,15.085,19.451,1004.017,444.161,421.245,205.072,100.828,115.345,138.611,3840439,3843920,3761201,3732151,3782798,3756551,3686390,3646754,3498317,3487775,3323361,3315401,3349512,3337597,3454976,3798955,3905023,3778665,3575881,3423601,3224509,3110886,3078673,2839788,2604225,2365203,2046235,1884526,1686481,1589897,1451788,1318062,1247859,1148787,1076595,1025932,918021,927638,888462,906529,795580,651565,668106,686145,647178,585542,534916,525527,526178,500985,483033,478344,480271,463874,466606,486258,488333,501377,515843,532942,545392,559006,574287,585041,599713,622431,615206,611268,607201,615367,615390,621358,631930,635017,627965,614657,606050,597594,574724,555665,528612,506684,471293,435518,397051,369337,346359,299808,256608,229129,194789,162791,133169,108450,83778,64877,46645,32049,23259,16630,29585,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9921,14515,35079,103502,232270,417112,690432,952128,1290090,1579575,1883701,2261818,2460330,2748978,2855579,3010182,3044370,3026224,3097934,3056711,3043167,3045166,2824274,2943682,2904030,3046030,2729929,2267853,2358415,2459509,2356846,2160000,1991347,1970463,1981963,1891791,1821410,1796644,1795745,1726290,1726516,1784493,1767913,1777554,1771435,1760016,1722160,1684032,1644250,1594160,1552116,1525117,1420657,1323974,1231146,1162943,1078264,1010410,948475,873721,790218,705221,631434,565140,491774,429005,367197,315099,262998,217431,176586,145781,121201,92645,69786,54583,41591,31542,23328,17268,12206,8665,5757,3621,2426,1592,1926
1988,5236.425,5138.55,2439.8,0.368896770192205,0.366828844466929,,0.267802051425919,8.845833333,909.238,401.181,334.335,94.508,35.227,7.594,16.198,20.195,1064.415,464.417,448.195,216.808,107.368,124.019,151.803,3900697,3855390,3856149,3776244,3747015,3798840,3775920,3695149,3655647,3506142,3497417,3333457,3325707,3359319,3341246,3467429,3796639,3855211,3677851,3432126,3216437,3058403,2928333,2879920,2633217,2361486,2163525,1881845,1771441,1613863,1531597,1407682,1286102,1225954,1134798,1072425,1032193,925888,938078,897544,921068,811428,664208,680512,697662,658681,597535,545397,537004,536265,510760,492086,486475,486616,469998,473247,493795,496452,513218,529737,548037,560957,573996,587486,597544,612364,634956,625690,622329,617598,622688,621579,627189,637506,638112,628303,610922,599194,589001,563625,541818,511260,487181,448756,410774,370769,341139,316043,270069,228092,199630,166929,137064,110074,87976,66655,50586,35621,23959,17030,31708,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8169,11294,31187,99547,227026,396883,649399,880599,1154740,1515585,1809482,2148583,2488001,2638303,2884083,2937525,3078703,3097585,3062359,3127384,3074182,3048913,3040809,2813930,2936996,2889832,3030095,2710597,2250842,2343760,2442649,2338848,2143192,1972632,1956017,1962702,1872686,1801813,1777823,1774391,1706499,1707404,1760964,1735919,1743490,1732355,1717526,1678990,1637357,1592822,1543105,1501833,1472661,1365531,1270867,1177477,1104290,1019751,951832,889845,813763,731080,646814,574316,511430,441729,381955,323320,275118,227157,185581,148586,120738,98724,74093,54672,42946,32270,24110,17553,12764,8858,6176,4029,2483,1624,2073
1989,5641.6,5554.675,2583.075,0.38657096206188,0.384234472073478,,0.278405378427779,8.498333333,991.104,445.69,359.416,103.291,34.386,8.745,16.334,23.242,1143.743,488.832,485.93,230.395,117.314,138.221,168.981,4008650,3914001,3871805,3870340,3793269,3763947,3817067,3796045,3704809,3665446,3514939,3508118,3344523,3336358,3362615,3352344,3466539,3750815,3750226,3539228,3236276,3062149,2890355,2742044,2675200,2395646,2156992,1992074,1765453,1701050,1556785,1484554,1374236,1261913,1211466,1130487,1077819,1041001,933571,948523,909561,938343,826034,674844,691324,709092,670523,608685,554586,546942,545096,519046,499062,492602,491727,475332,480067,502559,506488,526520,544101,562507,575450,586995,598402,607848,623209,645984,635249,632749,626954,628772,626767,631802,641303,638819,625925,604455,589435,577242,549313,524535,490303,463969,422851,383166,342035,310792,284035,239128,197527,169885,139460,112229,88249,69017,51131,37923,26088,17150,32539,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6792,9015,25848,91041,219137,388375,614386,827551,1071326,1362380,1747947,2070396,2374547,2683000,2767058,2975213,3002554,3134405,3138583,3089351,3148116,3080630,3043743,3032561,2802441,2929110,2871522,3010033,2691151,2234579,2329375,2424538,2319208,2125892,1953952,1941914,1943484,1853811,1783066,1759714,1753027,1686154,1686429,1734334,1700131,1706044,1690891,1673469,1634607,1590557,1541648,1491760,1450484,1418754,1308665,1215682,1122218,1044620,960002,892073,830344,753722,672428,589430,518765,459354,393333,336741,281665,237378,193530,155793,122692,97967,78491,57533,42595,32908,24282,17782,12677,9022,6128,4178,2663,1597,2096
1990,5963.125,5898.75,2741.175,0.407520077388008,0.402819697936495,,0.291265363128616,8.55,1031.958,466.884,380.047,93.507,35.345,11.5,16.707,27.968,1252.993,500.578,568.068,246.495,136.906,184.667,184.347,4130948,4022445,3929226,3890004,3886156,3811907,3782472,3835486,3816685,3715051,3676200,3524662,3519577,3356466,3342552,3373121,3351547,3428893,3655253,3610411,3354358,3090187,2903042,2713941,2547108,2443883,2187485,1983876,1873390,1693840,1648310,1508276,1449093,1349309,1245452,1207726,1135810,1085927,1049784,941323,962254,924368,954472,838448,684065,702242,720953,681369,618395,562163,555766,552550,525403,504304,497772,496164,480978,488357,513595,518113,540567,558053,575906,587887,597767,607361,616854,633298,656951,644831,642624,635519,634248,631135,635133,643324,637381,621298,595584,577249,563146,532651,504838,467219,439012,396000,355126,313247,280967,253157,208498,169283,142986,115135,90768,69864,53447,38711,28075,18886,33584,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5330,7167,22430,78060,201735,374583,598117,781704,1009634,1272176,1580081,2008242,2302589,2569384,2825496,2850643,3049063,3058425,3177894,3170505,3107709,3157435,3076741,3035226,3023993,2790538,2917863,2849860,2990606,2673350,2219213,2314319,2405232,2299779,2109456,1936352,1928380,1924856,1836092,1765313,1741956,1731647,1664651,1663036,1704270,1661623,1666687,1648537,1629170,1590979,1544632,1490974,1440337,1398752,1363799,1250776,1159763,1066387,984426,899972,832504,771502,695006,615423,534331,465924,409873,347715,294653,243430,203016,163171,129290,100045,78256,61259,45148,32908,24991,18101,12984,9056,6307,4194,2790,1738,2130
1991,6158.125,6093.175,2814.475,0.424700431650548,0.424078679847505,,0.302119537607327,7.858333333,1054.988,467.827,396.015,98.086,42.402,11.138,15.949,23.571,1324.225,533.278,596.499,266.765,154.578,175.156,194.448,4260314,4140017,4031628,3938660,3899718,3897773,3824279,3799366,3856380,3837130,3748120,3708473,3557559,3555849,3387314,3378223,3395457,3339948,3366174,3539981,3436923,3201285,2924010,2710758,2508319,2314397,2214688,2002328,1856152,1787715,1631322,1581598,1458656,1406903,1318349,1228645,1199020,1132385,1083502,1047648,947193,970084,934434,962999,845801,691667,710986,730130,690023,625643,571612,564213,561708,533843,512845,506866,505801,492809,503003,530165,536510,557616,574789,590511,601205,611153,621543,631216,647745,670707,657607,652297,644459,641302,636604,638641,644259,635083,615675,586712,565179,547618,513925,482853,442682,411832,367685,325965,283957,251194,221427,179250,142892,118362,93429,72161,54382,40713,28857,20480,35826,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5133,6795,21848,73229,178719,352225,587275,775977,974021,1221138,1500015,1834110,2254326,2508840,2714492,2918607,2933014,3120551,3119593,3224925,3207421,3132628,3166725,3084548,3040062,3022068,2791804,2904261,2840636,2977550,2662114,2209453,2299920,2388936,2283102,2090164,1923397,1907763,1905696,1816464,1745913,1722823,1708011,1639241,1633238,1667907,1626680,1625401,1607283,1584942,1545126,1498258,1443809,1389878,1343586,1303065,1191816,1098537,1006292,923710,840322,772904,712608,637520,560401,482684,417016,363245,305058,255766,208817,171816,135865,105800,80281,61456,48447,35113,25134,18730,13286,9330,6377,4350,2827,1835,2257
1992,6520.325,6416.25,2965.575,0.43761818630667,0.437001834079476,,0.317685932496004,7.01,1091.208,475.964,413.688,100.27,45.569,11.143,17.359,27.215,1381.53,533.804,648.382,285.167,184.005,179.21,199.344,4200941,4267294,4151470,4041933,3949185,3910599,3910697,3838406,3817733,3878716,3858826,3782123,3741702,3591383,3587669,3422478,3401616,3383666,3285458,3270796,3374034,3293376,3026901,2735456,2502629,2279792,2098856,2024027,1873021,1771748,1711807,1564446,1520812,1412924,1369495,1295215,1217236,1189983,1126758,1080040,1048601,956130,977054,942286,969524,853214,699781,719206,738880,698924,634164,582432,573394,571572,543392,522519,518052,518483,507889,519922,547778,554662,573730,590172,604349,614560,625445,636971,646912,662919,683932,669353,661179,652397,646856,640084,639706,642540,629972,607151,575092,550226,528977,492165,458123,415810,383151,338129,295951,254222,220116,190851,151777,118744,96432,74562,56380,41592,30470,21143,38645,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5508,7012,21587,71998,168520,313720,556304,769427,973611,1190632,1449953,1751620,2071301,2461889,2659493,2816557,3001923,3019736,3185814,3176774,3266986,3236268,3151860,3175935,3094237,3045601,3016449,2789365,2890903,2833216,2965966,2650011,2198331,2285097,2372091,2265406,2068844,1908262,1885707,1885157,1795082,1724592,1700613,1680125,1609217,1599689,1628900,1590227,1583342,1565725,1539880,1497442,1449243,1393835,1336337,1285751,1240872,1131682,1036066,945070,862348,780559,713788,654556,581417,507121,432873,370310,319304,265269,219758,177090,143170,111342,85111,63283,48763,37830,26951,18938,13830,9611,6611,4418,2951,1871,2400
1993,6858.55,6775.325,3079.35,0.450613915650128,0.450370614319445,,0.320418106146403,5.873333333,1154.334,509.68,428.299,117.52,48.057,12.577,18.802,19.399,1409.385,539.753,670.919,301.985,203.676,165.258,198.713,4145660,4207669,4276289,4163817,4053315,3960934,3922741,3925389,3854357,3837976,3902726,3882076,3817641,3776527,3621497,3625172,3447382,3394259,3332819,3203149,3131196,3238795,3128246,2832983,2534107,2277532,2071786,1922822,1891626,1787963,1698194,1634643,1507609,1469884,1377320,1344968,1282087,1210192,1183354,1124270,1083526,1055999,966546,983483,949693,977611,862565,708385,727914,748479,709376,643803,593414,582271,581385,552848,532973,530875,532977,523781,536608,563912,570944,587551,603887,617155,627520,639443,652098,661715,676086,694733,679234,668103,658104,649798,640631,637736,637545,621522,595496,560275,531866,506901,467298,430644,387511,352988,307614,265607,223506,190380,162121,126448,96941,77090,58345,43167,31159,22348,41018,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5654,7550,21571,70037,164718,295528,498067,728849,969795,1192393,1421359,1696554,1983116,2268972,2610950,2765449,2907102,3085809,3095591,3240294,3222735,3294959,3253885,3165583,3181606,3099614,3042940,3003171,2784319,2876911,2825089,2951646,2634925,2185858,2269001,2353712,2245329,2045514,1892018,1863075,1863743,1772794,1701399,1675555,1649058,1577002,1565060,1589953,1553948,1541849,1523916,1493731,1448001,1398271,1341506,1280928,1227168,1178320,1070590,973013,883583,801346,721604,655784,597887,526992,455604,385161,326180,278280,228466,186892,147722,117470,89744,67279,50280,38123,29041,20260,13933,9955,6766,4550,2972,1934,2501
1994,7287.25,7176.85,3236.575,0.46231007196567,0.46208795700036,,0.329017839137971,7.08,1258.566,543.055,461.475,140.385,55.225,15.225,20.099,23.102,1461.752,541.34,717.48,316.913,223.867,176.7,202.932,4072355,4153418,4216621,4286215,4177130,4065628,3973672,3936722,3941842,3871812,3859611,3927842,3906000,3853766,3805885,3655647,3649946,3439933,3346887,3252175,3074156,3016026,3080163,2940493,2625175,2315060,2072233,1901057,1799761,1802683,1713069,1622957,1568947,1461171,1430539,1354630,1330652,1273929,1205945,1180338,1129187,1093635,1064850,976199,989219,958572,987958,872526,717498,737377,759586,720867,653300,603888,590846,590980,562948,544781,545210,548003,539195,551669,577947,584977,599593,616416,629296,639885,652881,666170,674402,686783,703442,686974,672512,660792,649192,637335,631491,627999,608537,579050,540472,508552,480122,437965,400147,355517,319430,274290,231872,191870,160424,133805,102043,76438,59370,43879,31697,22351,42373,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6066,7754,22506,68754,159212,287887,470948,653535,919926,1194855,1426682,1670875,1923940,2177296,2413256,2715969,2860428,2998289,3157052,3159911,3282123,3254761,3311634,3265406,3175318,3182593,3096615,3032748,2987597,2779127,2862772,2814620,2934001,2618120,2171951,2251106,2332572,2222839,2020980,1874925,1839493,1841240,1748446,1675221,1647081,1615564,1543310,1529761,1550602,1517350,1499535,1480139,1444982,1396009,1344573,1286835,1224147,1167419,1114179,1007883,908990,821466,740204,662578,597930,541531,473012,404935,338843,283836,239214,193865,155170,120604,94150,70501,53014,38982,29023,21654,14769,9929,6927,4590,3016,1921,2562
1995,7639.75,7560.425,3418.025,0.475279809642717,0.475220817589036,,0.342206100216574,6.58,1351.79,590.244,484.473,157.004,57.484,14.763,19.301,28.521,1515.742,544.761,738.847,333.273,245.954,159.62,232.134,4021833,4083291,4163850,4227157,4297685,4191915,4079433,3987905,3951598,3958991,3889676,3881353,3952587,3929245,3882986,3838036,3675784,3640147,3391921,3269018,3122325,2967454,2876574,2896886,2734921,2398982,2113376,1902176,1780182,1715927,1723269,1636013,1559153,1515325,1426511,1404466,1341719,1321696,1268996,1205502,1185081,1140740,1104818,1072257,984800,996161,969513,998871,883064,727307,748184,771607,732089,662052,614007,599162,601207,574293,557966,560096,562561,553150,564979,589965,597568,610677,628492,641070,651933,665530,678458,685087,695954,710602,692930,674629,660785,645743,630931,621991,615175,592130,559028,517168,482006,450251,407612,367736,322242,285180,239717,199167,161754,132605,108350,80883,59286,45043,32549,22999,43832,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6284,8279,22336,70410,155082,277290,459822,618128,827330,1136223,1438138,1679053,1902074,2114614,2319986,2516692,2809832,2955765,3076202,3214381,3210614,3308891,3275201,3321213,3272024,3179809,3174461,3085526,3019993,2971965,2773551,2845931,2800361,2913970,2599189,2155988,2230497,2308978,2198974,1995729,1856830,1814903,1816606,1721264,1646051,1616506,1581002,1509326,1494348,1511431,1480120,1455911,1434363,1394420,1342213,1289426,1231520,1166840,1106703,1049335,944871,845575,760423,680494,605256,541998,487057,421281,357036,295510,244479,203420,161076,126850,96827,74148,55573,41050,29641,21638,15801,10540,6927,4721,3066,1963,2615
