"year","gdp","gdp_c","gdp_i","gdp_g","gdp_nx","gdp_comp","gdp_wages","gdp_proprietors","gdp_rent","gdp_interest","gdp_div","gdp_corp","gdp_fy","rgdp","pce_deflator","cpiu","ccpiu","cpiu_irs","ccpiu_irs","gdp_deflator","awi","u3","lfpr","emp_hh","emp_est","tsy_10y","tsy_3m","ffr","avg_rate_debt","rev","rev_iit","rev_payroll","rev_corp","rev_excise","rev_estate","rev_customs","rev_misc","outlays","outlays_disc","outlays_mand","outlays_mand_oasdi","outlays_mand_health","outlays_mand_other","outlays_ni","unmarried_0","unmarried_1","unmarried_2","unmarried_3","unmarried_4","unmarried_5","unmarried_6","unmarried_7","unmarried_8","unmarried_9","unmarried_10","unmarried_11","unmarried_12","unmarried_13","unmarried_14","unmarried_15","unmarried_16","unmarried_17","unmarried_18","unmarried_19","unmarried_20","unmarried_21","unmarried_22","unmarried_23","unmarried_24","unmarried_25","unmarried_26","unmarried_27","unmarried_28","unmarried_29","unmarried_30","unmarried_31","unmarried_32","unmarried_33","unmarried_34","unmarried_35","unmarried_36","unmarried_37","unmarried_38","unmarried_39","unmarried_40","unmarried_41","unmarried_42","unmarried_43","unmarried_44","unmarried_45","unmarried_46","unmarried_47","unmarried_48","unmarried_49","unmarried_50","unmarried_51","unmarried_52","unmarried_53","unmarried_54","unmarried_55","unmarried_56","unmarried_57","unmarried_58","unmarried_59","unmarried_60","unmarried_61","unmarried_62","unmarried_63","unmarried_64","unmarried_65","unmarried_66","unmarried_67","unmarried_68","unmarried_69","unmarried_70","unmarried_71","unmarried_72","unmarried_73","unmarried_74","unmarried_75","unmarried_76","unmarried_77","unmarried_78","unmarried_79","unmarried_80","unmarried_81","unmarried_82","unmarried_83","unmarried_84","unmarried_85","unmarried_86","unmarried_87","unmarried_88","unmarried_89","unmarried_90","unmarried_91","unmarried_92","unmarried_93","unmarried_94","unmarried_95","unmarried_96","unmarried_97","unmarried_98","unmarried_99","unmarried_100","married_0","married_1","married_2","married_3","married_4","married_5","married_6","married_7","married_8","married_9","married_10","married_11","married_12","married_13","married_14","married_15","married_16","married_17","married_18","married_19","married_20","married_21","married_22","married_23","married_24","married_25","married_26","married_27","married_28","married_29","married_30","married_31","married_32","married_33","married_34","married_35","married_36","married_37","married_38","married_39","married_40","married_41","married_42","married_43","married_44","married_45","married_46","married_47","married_48","married_49","married_50","married_51","married_52","married_53","married_54","married_55","married_56","married_57","married_58","married_59","married_60","married_61","married_62","married_63","married_64","married_65","married_66","married_67","married_68","married_69","married_70","married_71","married_72","married_73","married_74","married_75","married_76","married_77","married_78","married_79","married_80","married_81","married_82","married_83","married_84","married_85","married_86","married_87","married_88","married_89","married_90","married_91","married_92","married_93","married_94","married_95","married_96","married_97","married_98","married_99","married_100"
2035,44345.435,30672.13,7946.9795,6850.1315,-1123.806,23536.2,19330.2925,2998.7325525,1329.71075,3800.37275,3149.16225,5019.98225,43936.4875,1.19523467232355,1.21789243753876,1.2517691216171,1.2188117896214,1.25170797966324,1.21875225744976,1.21881399501587,1.42417841957163,4.31968175,61.3659225,171.63755,166.71185,3.7721005,3.01550075,3.2047755,3.597,,,,517.115,97.59,81.318,104.805,212.577,10730.029,2321.67,6625.774,2623.808,2948.988,1052.978,1782.585,3687509,3700610,3718363,3737659,3758126,3779548,3801062,3822084,3839671,3851064,3854767,3847597,3936678,3910795,3843574,3997683,4041479,4109521,4233401,4280703,4228171,4121779,4058724,3917744,3826979,3683194,3576416,3395768,3211794,2931307,2826976,2657663,2444602,2317410,2372284,2252109,2223448,2156275,2125429,2118004,2115567,2177500,2156275,2223125,2155908,2152419,2123511,2004754,2026596,1983572,1875829,1757752,1840276,1726151,1716288,1560463,1461507,1439766,1363745,1367727,1427498,1348460,1425293,1487610,1494671,1431485,1384084,1411356,1428006,1487793,1500822,1526230,1541128,1494544,1530461,1519960,1474679,1448826,1484126,1394534,1332590,1289614,1219149,1101287,976163,946050,922123,868402,759422,550169,487015,440748,390781,288903,247296,179638,143443,105835,75992,52706,103952,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10971,29944,50021,65977,151790,228360,335341,500953,701591,914761,1214593,1470901,1639030,1853714,1974314,2146860,2353119,2516543,2573663,2615678,2685340,2711668,2805550,2857325,2925708,2927498,3052859,2994891,3152430,3021450,2937254,2927839,2863049,2908182,2895805,2925993,2877970,2821334,2856435,2807023,2726483,2685928,2605634,2547470,2449859,2430022,2455872,2524267,2665403,2508493,2421013,2297921,2303186,2311296,2400342,2340946,2288854,2262380,2176011,2017876,1944213,1876155,1671815,1570879,1476804,1288945,1197270,1086070,990127,847378,717410,672903,492973,351113,299447,248562,171217,121982,68221,54893,35589,19823,12734,9944,13553
2036,46010.1626299,31706.3111996265,8295.74192701986,7172.62704721388,-1164.51754396026,24419.7657822074,20056.1957438285,3111.92814412769,1390.85577391959,3916.90513524712,3267.81389580618,5194.47717429229,45585.86324075,1.21584051807441,1.24171441361702,1.27997147992713,1.24295082338158,1.27990896044505,1.24289011215251,1.24312933421644,1.47304941438613,4.304,61.36,172.1747755315,167.2336580905,3.7471005,2.99050075,3.1797755,3.589,,,,536.5274971,101.2535286,84.37067772,108.7393797,220.55714058,11151.9803512211,2376.00367026666,6907.78323612575,2721.39403505518,3106.64644865797,1079.74275241259,1868.19344482871,3680644,3692976,3709448,3727758,3747420,3768285,3790128,3811997,3833257,3850927,3862167,3865486,3857974,3947386,3921208,3854205,3999935,4036242,4106963,4208337,4216392,4187906,4031454,3929296,3767112,3624640,3456350,3357476,3211875,3037338,2747392,2674647,2513374,2369102,2257539,2338153,2228943,2202948,2112580,2093040,2111131,2094399,2177574,2156419,2211106,2136236,2132933,2119484,2022312,2031915,1980245,1877035,1781166,1866409,1735306,1719565,1545101,1461973,1461094,1359253,1374432,1418757,1346065,1414754,1471389,1479630,1413527,1386555,1409454,1424848,1501118,1488324,1533740,1527971,1489608,1511990,1523769,1464581,1421515,1453786,1361041,1296864,1239923,1173030,1048012,946963,896586,848105,817409,711148,514020,433906,381334,334404,243257,203120,140833,114144,76026,56421,108340,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8926,27849,44703,90688,147441,210987,339621,488001,676795,930952,1169872,1463134,1685449,1845495,2068812,2158433,2320857,2457826,2603972,2634848,2665326,2731388,2778693,2860136,2884535,2965423,2941911,3064222,3010726,3173808,3038228,2934746,2899952,2845571,2897893,2879182,2884669,2833771,2790393,2831189,2798953,2701608,2638579,2584637,2513749,2428498,2399695,2429689,2497884,2635788,2482837,2373443,2251620,2255882,2242842,2351331,2266505,2228760,2187301,2107300,1921862,1856165,1797509,1592269,1487746,1387720,1211106,1110245,1005003,882601,756102,648773,574313,405804,277022,243796,202383,132511,91142,47156,40018,20844,16753,7804,13687
2037,47726.8017976216,32889.2736704846,8605.25605831697,7440.23776234543,-1207.96569352541,25330.8672435415,20804.4924070307,3228.03418318509,1442.74860284453,4044.61098201097,3389.73603225871,5388.28311766514,47286.6717982624,1.23637606442468,1.26598993040323,1.30883483679949,1.2675927327175,1.30877090750309,1.26753081786832,1.26807893995416,1.52348414014066,4.287,61.37,172.686134614829,167.730342055029,3.7301005,2.97350075,3.1627755,3.574,,,,556.545338016801,105.031297752066,87.5185477057332,112.796445956607,228.78612749504,11594.0684076142,2440.06329786921,7194.35749846254,2817.72771260528,3269.36923273768,1107.26055311957,1959.64761128247,3674942,3686209,3700134,3716362,3734265,3753588,3774153,3801855,3824095,3845362,3862664,3873258,3875519,3866608,3955889,3930455,3852336,3999473,4040664,4097226,4136257,4159077,4110712,3915735,3777386,3582699,3441318,3273655,3156077,3053571,2868656,2604625,2537410,2432120,2308080,2226985,2286378,2187353,2164423,2098633,2075331,2074724,2060146,2158885,2163821,2199415,2119692,2120775,2133294,2006732,2015235,1986533,1862793,1784775,1858428,1725856,1717476,1536010,1465817,1463204,1356697,1359955,1430825,1335719,1406235,1471486,1475646,1407051,1371428,1401667,1428005,1511628,1480037,1520086,1534145,1460153,1517872,1508645,1448818,1406894,1411766,1343497,1255851,1197834,1138786,1005904,918335,839931,804984,756071,651131,463102,384219,323883,283812,205372,161045,109410,84906,55544,111799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13337,22716,37581,69243,180939,224632,310245,479908,667013,890100,1144943,1384816,1698006,1878287,2049820,2246678,2330839,2435017,2550937,2664936,2716089,2735444,2797170,2817509,2901968,2942309,3017448,2973152,3064941,3023212,3187050,3042929,2909714,2900919,2846371,2874144,2875076,2860188,2819963,2774243,2805688,2780822,2669303,2606018,2556746,2497001,2382812,2373760,2397758,2453409,2592691,2442101,2340005,2207632,2198219,2173785,2293594,2207730,2143445,2130577,2007706,1838993,1767546,1699734,1515539,1379770,1297049,1119182,1005498,905405,768613,669993,547746,486174,329635,219036,190125,161492,96478,60092,32087,27074,14849,11679,14509
2038,49498.8979483673,34110.4524018697,8924.76921576228,7716.49379046132,-1252.81745972601,26271.4023442942,21576.9632101038,3347.89109240675,1496.31785846814,4182.41670110668,3515.59693113648,5588.35006982404,49042.4259221319,1.25689990709413,1.29072737364331,1.33838832741442,1.29276110247352,1.33832295459451,1.29269795828957,1.29368145375184,1.57548220786129,4.27,61.37,173.186924405212,168.216760046988,3.7191005,2.96250075,3.1517755,3.562,,,,577.209866417365,108.9311098376,90.7681113820471,116.984577994976,237.280956408931,12071.6368964742,2513.98842330557,7503.17005441426,2926.76376090731,3441.27461104903,1135.13168245793,2054.47841875434,3669831,3680601,3693398,3707248,3723152,3740799,3759903,3786406,3813873,3836337,3857580,3874553,3884619,3886019,3875941,3965221,3932372,3847750,4001388,4028033,4019134,4101277,4070378,3991108,3781716,3586637,3381911,3253213,3091090,3005859,2879188,2708056,2484318,2485166,2372423,2266892,2214551,2270289,2176089,2165262,2081811,2056252,2061599,2077031,2169464,2163961,2210927,2114184,2132586,2119436,2009646,2012737,1998614,1875110,1787615,1848596,1728646,1721117,1538128,1447000,1458408,1359966,1352299,1424986,1332456,1408696,1477761,1478471,1387986,1371184,1399977,1426453,1506513,1465408,1515214,1521427,1456710,1518956,1494351,1422825,1378239,1361770,1315538,1198467,1153225,1105503,967403,868649,781357,748321,687517,583837,411097,328895,271477,233015,160161,121755,83888,62398,119743,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8173,30343,35420,65975,163694,235826,335344,454355,640891,886759,1121505,1365501,1601162,1882920,2087828,2246373,2402190,2418084,2527154,2623675,2707028,2760349,2773498,2821609,2857578,2943211,2973561,3014309,2970427,3068704,3008104,3184678,3019656,2909068,2880813,2830924,2843111,2843119,2835161,2805991,2743789,2773164,2749880,2657905,2578054,2520577,2471018,2352584,2338424,2354329,2402282,2540475,2411614,2289081,2155165,2142425,2116287,2237200,2134768,2071197,2041900,1907540,1749040,1682785,1606975,1437558,1275255,1216012,1023845,891935,795869,673603,584204,460235,404114,262180,167473,149117,124226,69083,44836,24114,17071,9942,11674
2039,51324.417304703,35368.4458864506,9253.91470443959,8001.07808145353,-1299.0213676407,27240.2916627518,22372.7216132924,3471.36131589471,1551.50206108845,4331.99989537418,3645.25214595679,5794.44842039915,50851.1105901401,1.27736223758163,1.3159481865243,1.36863590361399,1.31845498281488,1.36856905336834,1.3183905836279,1.31989144000485,1.62921968293694,4.254,61.38,173.651065362617,168.667580963914,3.7151005,2.95850075,3.1477755,3.548,,,,598.497366290837,112.948489168411,94.115639329817,121.298969231431,246.031878081292,12559.045287006,2598.56813866266,7808.36358795154,3026.05811960925,3619.03992929466,1163.26553904764,2152.11356039177,3662387,3675606,3687874,3700651,3714369,3730130,3747668,3772826,3798959,3826107,3848737,3869961,3886697,3896392,3897167,3886138,3962445,3930555,3843802,3987381,3958224,3981814,4031472,3954835,3815233,3613120,3375937,3164544,3064423,2895590,2848363,2717573,2576237,2412086,2406092,2331384,2224668,2184597,2236009,2136439,2145576,2058470,2057034,2024804,2050095,2135058,2154453,2202302,2089642,2096921,2090657,2008441,2007186,1999958,1884925,1781646,1818773,1727188,1717580,1547605,1438641,1449200,1351426,1356649,1412957,1326291,1405583,1458701,1469747,1396374,1363893,1384341,1430426,1492594,1461167,1501674,1506668,1452120,1513722,1464665,1392205,1338304,1317741,1271536,1176610,1096655,1052171,921214,807581,733639,671179,624470,506272,358016,280524,220906,181846,126725,90848,61206,126917,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13154,21280,48135,65676,153218,219209,327786,475469,657286,838510,1128381,1371477,1588496,1831876,2075957,2285064,2414427,2509469,2531787,2600143,2696769,2765386,2821115,2837960,2864975,2902136,2961200,3024229,3050071,3008033,3077389,3008015,3196947,3040076,2920389,2862466,2816777,2821348,2812252,2816821,2809962,2716279,2746333,2709819,2633832,2552123,2493945,2430610,2326157,2305393,2315964,2374226,2497438,2350991,2242808,2113872,2077283,2062773,2165035,2064654,1995010,1948827,1807357,1668103,1593571,1516113,1346490,1179953,1093256,932348,791626,691781,588265,487427,391783,317850,211575,123953,109575,93725,51593,28226,17143,12089,11681
2040,53204.4307105743,36663.9920592713,9592.88560006321,8294.15757157717,-1346.60452033738,28238.1035463584,23192.2344059873,3598.51728089594,1608.33358158612,4490.68105154174,3778.77773206319,6006.69906603837,52713.7867710569,1.29782558062768,1.34164865460712,1.39959444775374,1.34468583290195,1.39952608535554,1.34462015248395,1.34665883840815,1.68473670027325,4.238,61.39,174.079983494063,169.084189888895,3.7151005,2.95850075,3.1477755,3.541,,,,620.420324818071,117.08579232665,97.5630951984682,125.742150474378,255.04402577541,13050.1842500639,2693.75368958187,8098.60104911989,3106.85577007103,3799.57490786638,1192.17037118248,2257.82951136215,3652278,3668277,3682961,3695213,3707910,3721656,3737409,3761108,3785989,3811696,3838518,3861288,3882543,3899155,3908655,3909009,3881781,3949097,3931524,3826684,3911700,3908557,3890883,3918717,3802735,3616688,3400960,3215376,2979204,2922215,2743467,2714221,2604158,2496369,2347454,2381786,2306201,2180558,2108371,2217473,2086430,2124251,2053920,2074178,2020499,2052621,2139021,2147835,2183503,2077852,2087460,2092967,2015617,2022869,1979458,1878117,1781591,1797881,1732953,1725909,1555505,1440753,1434911,1340368,1353314,1389145,1317783,1400861,1450150,1467278,1403024,1369873,1380524,1422949,1484056,1457435,1492107,1497980,1440805,1490031,1431776,1352814,1306837,1288772,1221336,1135999,1046857,993099,877237,759565,670206,610119,544030,432262,293163,221843,180332,143337,98570,66542,129349,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15544,38247,33273,80875,159305,222260,330648,465324,654768,885021,1081694,1321940,1591253,1766431,2020143,2246193,2434430,2530450,2608714,2590280,2656614,2770536,2868359,2864218,2911215,2908024,2924491,2958503,3037388,3051645,3002345,3077988,3013537,3192679,3031239,2898249,2833999,2779915,2819990,2795839,2790449,2803654,2679976,2705883,2669006,2596902,2529012,2467518,2395523,2310871,2274127,2276991,2333371,2445434,2289665,2180483,2057069,2019075,1998726,2086580,1984640,1907261,1856239,1719125,1581111,1503659,1409659,1233348,1084549,980637,827030,694592,583619,489629,404626,308198,256162,165977,100564,88630,62992,33233,16240,11927,14922
2041,55134.6874567539,37994.1616911817,9940.91548963351,8595.06960827399,-1395.45933233523,29262.5819430203,24033.6486702366,3729.07148784684,1666.68392392606,4657.36091672163,3915.87178818244,6224.62210815425,54626.2429551109,1.31818846398773,1.3678510528316,1.43126727010641,1.3714519605239,1.43119736066713,1.37138497272955,1.37395561306268,1.74178317512936,4.222,61.4,174.487330655439,169.479846893235,3.7181005,2.96150075,3.1507755,3.542,,,,642.92917420247,121.333664872261,101.102684292269,130.304075693588,264.297023030542,13573.9010781749,2791.4830734399,8409.8986929276,3200.45331237492,3988.22589147203,1221.21948908065,2372.51931180744,3639611,3658282,3675713,3690384,3702565,3715333,3729224,3751232,3774739,3799282,3824579,3851095,3874022,3895389,3912018,3921468,3912148,3876946,3951828,3909497,3764685,3898991,3831119,3777784,3741458,3625116,3399388,3204209,3036722,2812284,2790563,2614558,2578370,2534644,2421254,2296514,2335331,2262355,2151074,2090624,2187991,2070133,2086066,2024389,2058811,2006671,2019155,2128593,2138283,2148761,2076835,2053830,2091916,2019005,2022293,1974714,1889547,1774434,1803557,1722758,1723908,1545935,1434613,1420296,1322983,1346891,1384814,1320810,1402434,1448107,1472437,1406758,1371321,1382010,1409476,1493740,1469372,1492209,1460111,1447103,1464195,1411315,1342980,1288128,1249523,1177053,1096357,991562,932607,809491,705935,598240,528305,473479,360059,242578,181203,139537,109573,73363,134722,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9543,32880,49077,70267,160330,191925,321490,466944,670035,861775,1133572,1311608,1535498,1794188,1934804,2185812,2418539,2539839,2641349,2693763,2670292,2730531,2828050,2910961,2916766,2948812,2964555,2967470,2983213,3055235,3084234,3005686,3076915,3031092,3174602,3044135,2877746,2807870,2757876,2800673,2759033,2769748,2769161,2657807,2673413,2643153,2565949,2503924,2445150,2362892,2275487,2229124,2229496,2283391,2383344,2228423,2118976,1990602,1962013,1910898,1986566,1889507,1842465,1739624,1623467,1472041,1377079,1283429,1124003,974323,859519,724727,596947,498868,394522,331013,252206,193965,128885,71083,59108,44675,21338,10128,17128
2042,57119.5362051971,39361.9515120642,10298.7884472603,8904.49211417186,-1445.69586829929,30316.034892969,24898.8600223651,3863.31806140933,1726.6845451874,4832.81239586087,4056.84317255701,6448.7085040478,56592.7877014949,1.33848856633314,1.3945651838934,1.46368547377432,1.39877822697593,1.46361398088624,1.39870990444557,1.40181943289559,1.80059807758643,4.205,61.4,174.864223289655,169.845923362525,3.7241005,2.96750075,3.1567755,3.549,,,,666.074624473759,125.701676807662,104.74238092679,134.995022418557,273.811715859641,14150.8462658036,2891.97646408374,8762.4566990503,3331.51561217684,4179.90589311129,1251.03519376218,2496.41310266952,3624975,3645729,3665795,3683218,3697827,3710090,3723041,3743328,3765219,3788459,3812673,3837597,3863870,3887013,3908600,3925361,3923785,3909897,3880809,3938790,3844696,3731350,3825167,3721618,3609017,3572478,3429935,3213101,3008794,2881228,2623515,2664728,2477536,2512133,2477144,2368362,2261952,2310600,2227305,2121794,2073609,2176161,2086271,2079424,2008824,2049179,1984341,1995170,2137510,2125299,2127322,2088777,2052157,2112450,2011182,2015537,1955526,1871043,1752247,1782975,1704427,1709793,1547663,1420200,1421791,1316783,1341337,1384432,1322613,1387236,1460595,1472259,1393610,1357706,1360982,1393439,1468066,1450911,1459630,1449334,1406488,1432036,1376435,1285461,1243259,1178158,1116354,1035095,944553,864286,752718,643716,525855,448295,407167,305761,191414,147275,105337,83958,146735,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11216,25664,43291,77805,152065,213219,288102,455581,661643,868714,1088459,1353317,1542153,1727541,2020026,2098036,2360041,2521281,2632886,2729593,2761745,2727381,2794014,2883489,2951330,2949763,2950578,2985198,2991335,2997263,3076493,3101947,2984941,3075352,3032215,3141162,3023297,2834233,2791559,2739830,2793611,2750707,2762386,2759049,2641372,2650526,2603625,2540964,2460470,2411054,2328789,2233897,2183141,2196235,2216519,2323727,2180281,2068146,1941965,1902247,1852764,1911477,1820909,1744182,1660348,1524134,1370217,1291152,1176875,1037450,872692,757363,611990,506652,400661,308369,264601,203393,138867,83897,51574,34827,31368,11297,13912
2043,59162.1308198949,40769.5348981356,10667.0731221343,9222.91675217464,-1497.39395254968,31400.1363007416,25789.2432567649,4001.47031528533,1788.4307845233,5013.69869801839,4201.91588440765,6679.31432015255,58616.5457897003,1.35879343788442,1.421787096283,1.49685258661004,1.42666292151397,1.49677947369313,1.4265932369715,1.43024833099472,1.86128351065472,4.188,61.41,175.212203094001,170.183916750016,3.7301005,2.97350075,3.1627755,3.555,,,,689.893453044941,130.196768770304,108.487968468732,139.822444420245,283.603222818782,14717.84173589,2995.39354243937,9096.31794163474,3438.92730131034,4376.27256448071,1281.11807584369,2626.13025181588,3608899,3631202,3653320,3673381,3690751,3705456,3717910,3737293,3757581,3779269,3802242,3826156,3850785,3876910,3900356,3922254,3925651,3916140,3913234,3879131,3875396,3811654,3658716,3729718,3567467,3396400,3360379,3253597,3038671,2849792,2741684,2524075,2563736,2389627,2466962,2460486,2305363,2217198,2282248,2200211,2118145,2040505,2162798,2088887,2075809,2025896,2040026,1988549,2004248,2144122,2103395,2123573,2091823,2040505,2114269,1996270,1997783,1952209,1861536,1730656,1795153,1707355,1701110,1536242,1421323,1422607,1308776,1340840,1375172,1325896,1388215,1464732,1480239,1382756,1356449,1355820,1392105,1460082,1451464,1449713,1422681,1403301,1397384,1338580,1260988,1209673,1118741,1077987,983565,884095,789130,691017,567727,464423,382970,333082,252321,152122,115768,83416,158649,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13714,33488,37867,61330,159028,204377,307965,408720,637155,902505,1112678,1298556,1563227,1737978,1904740,2157250,2236917,2485203,2602659,2684675,2827319,2838645,2786460,2847645,2911810,3005875,2980904,2961476,2997650,2977574,3005657,3065720,3081830,2962453,3079588,3013179,3114881,3010977,2808066,2780205,2730621,2769200,2731679,2752484,2713714,2601102,2619801,2574829,2498172,2417201,2378244,2287394,2198933,2133184,2144507,2155256,2252095,2125382,2000240,1872354,1822397,1771759,1811302,1723329,1652083,1533647,1419951,1264272,1165660,1049517,930732,745975,643147,512107,420282,307472,242796,196171,150771,102468,49644,32185,19517,16157,16427
2044,61267.1194344668,42220.1149498113,11046.6075838199,9551.06813021701,-1550.6712293814,32517.353150322,26706.8245318405,4143.84262910318,1852.06315183664,5201.82995900322,4351.42005157487,6916.96432366358,60702.1224888978,1.37914816358393,1.44954038040245,1.53078623474849,1.45511772706059,1.53071146436175,1.45504665265926,1.4592680696306,1.92396787707,4.171,61.41,175.534593547694,170.497055156836,3.7371005,2.98050075,3.1697755,3.559,,,,714.43986210428,134.829169803151,112.34797038685,144.797326992717,293.693825486674,15310.7029644903,3101.96964467937,9449.10195279277,3561.28433469096,4576.29289174183,1311.52472635998,2759.63136701816,3591570,3615235,3638868,3660982,3680998,3698473,3713383,3732289,3751694,3771882,3793357,3816080,3839766,3864207,3890309,3914132,3927566,3928020,3921353,3901660,3813663,3838763,3727485,3565820,3570023,3389628,3199103,3153054,3062730,2842165,2694090,2607486,2386073,2474283,2353804,2431990,2394430,2252881,2205252,2259790,2176444,2095976,2032146,2143183,2067880,2057648,2009379,2038201,1998533,1992126,2146989,2094399,2130005,2096989,2045006,2129297,1998498,1997876,1937164,1858019,1732781,1780815,1699789,1690804,1522320,1431282,1417782,1300218,1322689,1363241,1313880,1374240,1468936,1488769,1385295,1351642,1338073,1393744,1438581,1437874,1404561,1390091,1362618,1365750,1307636,1212307,1153343,1058890,997786,905425,814311,698331,598857,495215,396069,305624,259301,198334,114566,83169,162694,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8972,26396,44489,66981,145253,215843,310533,425892,596431,844828,1130278,1354170,1525240,1796949,1931643,2077348,2333551,2364330,2558001,2673465,2785236,2913288,2881019,2837737,2896427,2956721,3032243,3013882,2990761,3019628,2992144,3001143,3044314,3078867,2940483,3068461,2982181,3085057,2981095,2766564,2749599,2702105,2754773,2704693,2716341,2692249,2568880,2588248,2546160,2446048,2379094,2343819,2261412,2164095,2096271,2105072,2090242,2175338,2052284,1930701,1810104,1735121,1698457,1719031,1651282,1555803,1437189,1305472,1144822,1054654,936508,821586,658639,554817,418270,349335,251761,182752,145519,120582,78514,30780,22497,15481,25409
2045,63435.9754624469,43714.7070190346,11437.6574922871,9889.1759420267,-1605.56499090149,33668.4674518434,27652.2461202677,4290.53465817343,1917.62618741166,5394.62227726596,4505.46032140062,7161.82486072127,62850.9776250048,1.39955955640497,1.4778354086279,1.56550446655259,1.48415457637906,1.56542800037347,1.48408208368927,1.4888912114441,1.9886359996389,4.154,61.42,175.838268394532,170.792015062257,3.7431005,2.98650075,3.1757755,3.563,,,,739.731033222772,139.602122414183,116.325088538544,149.92315236826,304.090586908902,15919.952395492,3211.77937010102,9807.48353341914,3683.58274148152,4781.03232489449,1342.86846704313,2900.68949197186,3572829,3598001,3622965,3646597,3668674,3688807,3706499,3727881,3746818,3766141,3786202,3807473,3830011,3853569,3877958,3904143,3918811,3925922,3937421,3913733,3825513,3759744,3758058,3627018,3427602,3366507,3189190,3007321,2974122,2940342,2674513,2549898,2453175,2324656,2404185,2297133,2377126,2362771,2232181,2177198,2234518,2144863,2094894,2018111,2124750,2056118,2046182,2001403,2035819,1989884,1992713,2134746,2093870,2145413,2091652,2026538,2129418,2011747,1989789,1936114,1860351,1721863,1759854,1691505,1676177,1519480,1416440,1416373,1297634,1316210,1364354,1325476,1380729,1467160,1492609,1374298,1348244,1325682,1383605,1422288,1419979,1352022,1357690,1305825,1305831,1251548,1156022,1091042,1016219,926987,824579,723389,618780,518043,415463,330754,246778,209283,147245,88839,170454,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9716,25925,33599,70256,162678,219937,319519,436041,592076,830380,1077418,1354879,1569357,1685204,2002978,2114563,2270605,2433347,2472126,2651284,2763567,2850137,2965787,2937505,2890301,2951050,2977079,3059815,3040390,3005699,3029628,2992537,2992269,3037431,3059994,2931093,3047128,2940765,3064366,2972013,2737864,2706572,2680051,2724349,2669318,2690549,2674898,2534898,2558615,2505877,2418254,2335412,2301255,2221237,2113927,2033154,2041629,2026866,2098347,1987433,1854459,1737852,1654025,1613960,1621345,1576494,1452062,1349645,1212488,1040539,942637,827597,692648,561053,465440,345032,274368,194012,140916,102135,84114,47263,23176,11221,25932
2046,65671.4592377435,45255.2132943854,11840.7205423153,10237.6705022237,-1662.14510118086,34854.9442448463,28626.7112735459,4441.73309952746,1985.20333425605,5593.68104325988,4664.23274312678,7414.20756881308,65065.84607651,1.42003511271517,1.50668275580432,1.60102576289867,1.51378565752752,1.60094756170195,1.51371171752434,1.51913059194853,2.05536528684862,4.138,61.42,176.124884772015,171.070406046809,3.7491005,2.99250075,3.1817755,3.57,,,,765.799154833542,144.521701208059,120.424384658643,155.206444257717,314.806739191572,16557.7492162794,3324.96247510338,10182.3788838713,3814.69351421286,4993.11002089504,1374.57534876336,3050.4078573048,3552573,3579360,3605801,3630766,3654371,3676576,3696937,3721121,3742545,3761405,3780612,3800545,3821669,3844114,3867678,3892129,3907236,3921083,3930408,3930690,3857511,3802709,3676871,3658617,3487620,3258342,3187529,3036992,2845396,2836312,2785519,2538466,2433898,2354626,2284098,2370595,2281077,2381498,2311753,2203630,2180640,2214252,2120651,2076950,2019668,2137753,2071619,2044888,1996244,2066085,1983532,1979069,2130239,2081375,2135030,2098334,2027295,2107308,1995892,1967229,1943770,1843744,1717276,1753203,1668785,1679699,1529057,1412209,1407126,1306471,1321534,1357469,1317494,1379030,1463383,1491380,1354561,1338341,1309468,1367638,1388383,1387339,1327568,1325430,1273741,1262550,1176812,1096910,1028375,949562,860002,742089,633230,540314,440335,350358,266674,190956,160528,106366,179188,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11379,22880,38306,58862,146598,207298,326346,445071,603568,791830,1042133,1264227,1551780,1745231,1878807,2178216,2269866,2408222,2512050,2543087,2703383,2793218,2932700,3024179,2960891,2935874,2994775,3009788,3066451,3030327,2988006,3023789,2985160,2946608,3025013,3052876,2912178,3036375,2923780,3029517,2941568,2730017,2690991,2670496,2682638,2650178,2655869,2640697,2512937,2510331,2452670,2377688,2297410,2244819,2166992,2069126,1986167,1982197,1960821,2020969,1925916,1780130,1664056,1573003,1537646,1528262,1466423,1340951,1230671,1092462,946040,830996,716309,586718,455503,376824,278269,207939,144524,94769,69700,60603,30468,18056,23814
