"year","gdp","gdp_c","gdp_i","gdp_g","gdp_nx","gdp_comp","gdp_wages","gdp_proprietors","gdp_rent","gdp_interest","gdp_div","gdp_corp","gdp_fy","rgdp","pce_deflator","cpiu","ccpiu","cpiu_irs","ccpiu_irs","gdp_deflator","awi","u3","lfpr","emp_hh","emp_est","tsy_10y","tsy_3m","ffr","avg_rate_debt","rev","rev_iit","rev_payroll","rev_corp","rev_excise","rev_estate","rev_customs","rev_misc","outlays","outlays_disc","outlays_mand","outlays_mand_oasdi","outlays_mand_health","outlays_mand_other","outlays_ni","unmarried_0","unmarried_1","unmarried_2","unmarried_3","unmarried_4","unmarried_5","unmarried_6","unmarried_7","unmarried_8","unmarried_9","unmarried_10","unmarried_11","unmarried_12","unmarried_13","unmarried_14","unmarried_15","unmarried_16","unmarried_17","unmarried_18","unmarried_19","unmarried_20","unmarried_21","unmarried_22","unmarried_23","unmarried_24","unmarried_25","unmarried_26","unmarried_27","unmarried_28","unmarried_29","unmarried_30","unmarried_31","unmarried_32","unmarried_33","unmarried_34","unmarried_35","unmarried_36","unmarried_37","unmarried_38","unmarried_39","unmarried_40","unmarried_41","unmarried_42","unmarried_43","unmarried_44","unmarried_45","unmarried_46","unmarried_47","unmarried_48","unmarried_49","unmarried_50","unmarried_51","unmarried_52","unmarried_53","unmarried_54","unmarried_55","unmarried_56","unmarried_57","unmarried_58","unmarried_59","unmarried_60","unmarried_61","unmarried_62","unmarried_63","unmarried_64","unmarried_65","unmarried_66","unmarried_67","unmarried_68","unmarried_69","unmarried_70","unmarried_71","unmarried_72","unmarried_73","unmarried_74","unmarried_75","unmarried_76","unmarried_77","unmarried_78","unmarried_79","unmarried_80","unmarried_81","unmarried_82","unmarried_83","unmarried_84","unmarried_85","unmarried_86","unmarried_87","unmarried_88","unmarried_89","unmarried_90","unmarried_91","unmarried_92","unmarried_93","unmarried_94","unmarried_95","unmarried_96","unmarried_97","unmarried_98","unmarried_99","unmarried_100","married_0","married_1","married_2","married_3","married_4","married_5","married_6","married_7","married_8","married_9","married_10","married_11","married_12","married_13","married_14","married_15","married_16","married_17","married_18","married_19","married_20","married_21","married_22","married_23","married_24","married_25","married_26","married_27","married_28","married_29","married_30","married_31","married_32","married_33","married_34","married_35","married_36","married_37","married_38","married_39","married_40","married_41","married_42","married_43","married_44","married_45","married_46","married_47","married_48","married_49","married_50","married_51","married_52","married_53","married_54","married_55","married_56","married_57","married_58","married_59","married_60","married_61","married_62","married_63","married_64","married_65","married_66","married_67","married_68","married_69","married_70","married_71","married_72","married_73","married_74","married_75","married_76","married_77","married_78","married_79","married_80","married_81","married_82","married_83","married_84","married_85","married_86","married_87","married_88","married_89","married_90","married_91","married_92","married_93","married_94","married_95","married_96","married_97","married_98","married_99","married_100"
2025,30441.0775,20734.1125,5553.22825,5156.9995,-1003.26275,15792.565,13022.94,2090.378655,1075.86125,2165.597,2106.5485,3894.7195,30136.145,1,1,1,1,1,1,1,1,4.27725475,62.6489675,163.36275,159.95635,4.09379675,3.84264925,4.017474,3.377,,,,523.681,91.841,36.666,80.454,50.287,7028.144,1847.89,4227.993,1572.108,1754.154,901.731,952.261,3753810,3745195,3831355,3809774,3742660,3895644,3952813,4040416,4160534,4216935,4241489,4202291,4234078,4247326,4341699,4398131,4568185,4593465,4552161,4457358,4379503,4302571,4198036,4058961,3948594,3537300,3367295,3148377,3053440,2844191,2802215,2711009,2651505,2582128,2540241,2478735,2353178,2169578,2153774,2069814,1956429,1801531,1852111,1767669,1706712,1553160,1469473,1458375,1376860,1400837,1423829,1361393,1429922,1446333,1553297,1452922,1442278,1480465,1481319,1516904,1596522,1543785,1555040,1550204,1581298,1566525,1583425,1531728,1508118,1509151,1458162,1384450,1337454,1301954,1200025,1171687,1169243,1157449,1103395,817353,829955,870064,763008,668145,620899,591488,540392,490326,430571,375210,343672,281827,245533,199281,190058,140922,113750,79293,63654,42716,88200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8068,42327,48378,72744,149024,236084,324182,498583,710259,1034305,1238580,1420542,1574201,1838185,1955859,2130808,2304741,2429765,2562838,2515671,2548874,2632618,2622565,2732033,2761222,2872423,2881352,2849113,2942728,2913880,2838934,2804818,2724605,2655761,2618953,2604950,2672261,2836955,2910335,2800318,2690570,2583873,2618417,2692068,2767176,2820959,2809336,2781432,2741754,2620343,2529098,2543650,2422712,2271045,2222035,2100253,2044033,1882399,1790777,1697281,1609215,1628552,1329466,1077010,984467,898378,859222,682197,576437,454324,416576,324789,274672,238279,165415,131407,110036,84808,46067,34449,21571,20765,7418,8240,9586
2026,31640.63,21503.5675,5807.639,5311.4485,-982.025000000001,16536.5475,13622.6925,2182.91759,1115.48775,2267.56725,2228.76925,3932.928,31341.325,1.01827857388277,1.02120454156928,1.02441557035994,1.02123581210502,1.02441,1.02168037313985,1.0207509165273,1.04054754230149,4.3643125,62.41959,165.80865,160.80275,3.935791,3.30332025,3.484535,3.356,,,,495.147,97.258,38.63,83.642,56.988,7293.598,1896.956,4386.366,1664.223,1831.634,890.509,1010.276,3765044,3767525,3761680,3848330,3826266,3759179,3912333,3969353,4057121,4179465,4236201,4261120,4222310,4254829,4268831,4364388,4405688,4573341,4607741,4553657,4399192,4354581,4237677,4103993,3912500,3776185,3342696,3200600,3004059,2914669,2695305,2667419,2617347,2540446,2550962,2481336,2437725,2361717,2124454,2142647,2041579,1964605,1798912,1858688,1751611,1723091,1545055,1459528,1473163,1380711,1402370,1431212,1365354,1425567,1458804,1551844,1447927,1432265,1479731,1484880,1525916,1573960,1547782,1551047,1536553,1585949,1579620,1571769,1535239,1512983,1516105,1457972,1373250,1351159,1309521,1177840,1155702,1154405,1145038,1084791,808083,820790,839039,738712,634074,598808,560725,514667,448813,409245,341021,305203,245571,208575,163136,159703,112919,87863,60247,48165,92004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16180,28223,55436,76617,161643,207039,334590,454472,683455,924083,1273122,1452046,1613053,1763210,2037566,2141149,2274013,2464815,2506259,2667765,2601003,2583225,2718442,2673392,2798674,2788601,2906145,2902181,2885613,2944352,2935415,2857744,2795434,2724998,2656311,2610555,2597584,2670347,2814186,2898746,2790631,2684310,2565684,2594685,2658322,2759218,2782280,2774409,2751868,2691742,2560840,2491093,2486744,2363588,2207448,2161897,2048407,1962117,1803155,1738168,1633593,1538418,1545327,1255305,1005755,906984,834991,786708,626340,509001,397626,353287,281733,214372,192978,130335,101619,84307,65857,25978,21170,13257,12946,2784,7791
2027,32840.9525,22264.82,6083.1715,5470.231,-977.27,17247.2125,14196.95,2267.8831375,1150.91175,2400.537,2322.2085,3947.08825,32538.0675,1.0362340554632,1.04189206829905,1.04813459562411,1.04167484203502,1.0481250915,1.04254689775449,1.0411175821456,1.08048183510827,4.39348575,62.1134825,166.3616,161.38755,3.914938,3.174295,3.3482245,3.372,,,,468.977,97.07,54.229,86.675,59.643,7621.779,1950.844,4595.697,1760.878,1936.125,898.694,1075.238,3766198,3774411,3779704,3773982,3860842,3838411,3771422,3924767,3981529,4069348,4193834,4250859,4276175,4237848,4271095,4285744,4369138,4409585,4578800,4605893,4489104,4364419,4282865,4124423,3952141,3733751,3589308,3146713,3044766,2856429,2756443,2577311,2520992,2513816,2463394,2509220,2420375,2426178,2324208,2110254,2113673,2036736,1950147,1785652,1858236,1738996,1717316,1541144,1453504,1455560,1375699,1407181,1439926,1358081,1425671,1451706,1547357,1458541,1434282,1474513,1488811,1531306,1572384,1539241,1557632,1532347,1581052,1567209,1556475,1530720,1508173,1499298,1431482,1375574,1345778,1294277,1168766,1143973,1144462,1126852,1064681,788152,798450,807116,716697,600426,578887,522088,487668,414832,373102,311072,263502,212774,177345,132505,124775,83247,62709,41051,93609,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13217,31231,43241,79482,165199,221157,305706,475123,635709,892791,1143807,1504210,1644810,1798448,1960490,2194378,2326192,2414855,2578505,2580880,2762446,2644482,2651276,2761375,2731064,2831245,2827427,2939082,2918490,2907752,2957481,2942358,2863159,2809695,2726447,2646633,2594679,2595702,2658448,2804750,2883871,2759810,2660450,2546280,2564406,2621893,2724101,2750096,2723077,2709359,2648232,2522290,2452304,2433080,2309599,2162828,2122398,1976713,1892704,1740283,1666166,1559418,1456255,1461224,1175865,939579,837757,767868,708116,566661,437224,348208,291343,232242,170607,146467,103059,73742,59185,47871,17441,17146,11403,11524,7682
2028,34078.36,23071.8175,6320.9675,5628.331,-942.756,17969.8875,14796.3675,2348.558935,1178.91325,2600.36675,2407.852,3940.33175,33764.525,1.05431555775622,1.0627378689203,1.07179280087543,1.06225624986999,1.07178127481515,1.06323652865737,1.06181731731135,1.12205404964138,4.404363,61.8829825,166.92405,161.9697,3.89476675,3.16797375,3.358254,3.462,,,,462.338,95.424,56.19,89.11,59.974,7903.254,1996.855,4741.914,1865.222,2033.155,843.537,1164.485,3759714,3772702,3784065,3789352,3783490,3870660,3847916,3781031,3934486,3990933,4078659,4205228,4262546,4288321,4250475,4284408,4289434,4364848,4409636,4564293,4507474,4451551,4264612,4161899,3932532,3713329,3504445,3354254,2942525,2874540,2714361,2594975,2430268,2405628,2431003,2389175,2432938,2365526,2376679,2287715,2096630,2103580,2030668,1948244,1787725,1850872,1726181,1713103,1552272,1448883,1469386,1366455,1418749,1457069,1348426,1431870,1464678,1536668,1465164,1421592,1452613,1481929,1530095,1556978,1534961,1549148,1524836,1584792,1576735,1552439,1518584,1514972,1488607,1435969,1394479,1345410,1301659,1164200,1119408,1122278,1094562,1031837,772686,767856,763379,676523,573323,539881,480407,448068,366787,324326,263360,220380,177102,141716,110870,93069,63074,44849,91136,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10217,32495,47228,75165,196688,223288,342207,450130,690478,899392,1147682,1406412,1737645,1845664,1971303,2153649,2372751,2472402,2526996,2681421,2682088,2842859,2717674,2710281,2796460,2762576,2856931,2845187,2947761,2933330,2921699,2960592,2926633,2860292,2786443,2726792,2625554,2566072,2592128,2635763,2770528,2871088,2728817,2647055,2538841,2540102,2587408,2698172,2709176,2684585,2668036,2592031,2457849,2398012,2382982,2239570,2106748,2045832,1882246,1812111,1648818,1583890,1492111,1380325,1384055,1102526,864051,772111,708334,643306,497512,383287,301191,242416,197742,141732,121843,82277,54428,44678,27381,13469,10573,8433,12333
2029,35378.35,23974.0975,6542.322,5787.349,-925.418500000002,18712.3525,15404.2525,2428.118805,1208.7205,2791.95175,2506.0755,3965.02075,35047.1475,1.07314740355816,1.08381860425406,1.09582426946198,1.08324089779318,1.09581061099651,1.08417769047856,1.08297768473102,1.16353776380636,4.38587225,61.73393,167.60705,162.612,3.871822,3.14058275,3.33545375,3.503,,,,452.812,96.096,57.529,90.791,65.798,8344.09,2038.437,5058.423,1967.506,2143.989,946.927999999999,1247.23,3748407,3764295,3780702,3792225,3797281,3791331,3878857,3855796,3788948,3942463,3998514,4086032,4214676,4272330,4298575,4261205,4285664,4277181,4359102,4384195,4488130,4459651,4361988,4147127,4002838,3729259,3490886,3269165,3145400,2794862,2713733,2557512,2466358,2334197,2336789,2384339,2360372,2392220,2313445,2325079,2261042,2094768,2088364,2040600,1922279,1763250,1862070,1727007,1707420,1559509,1456611,1461721,1368361,1407240,1450377,1361389,1422409,1466686,1537557,1469787,1420951,1444957,1474427,1523476,1544147,1530989,1561749,1514240,1581494,1582050,1547741,1534702,1532104,1498004,1444827,1385422,1341161,1296506,1161669,1091079,1108270,1089388,1001109,772349,734711,732916,646348,545221,504740,437030,400599,324075,273798,224540,187770,146443,108874,82057,67692,49207,96052,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10175,34580,51580,87052,166847,261356,331579,479149,630715,914701,1143868,1405545,1639357,1910699,2032659,2154152,2309096,2495016,2566769,2597632,2733620,2742122,2914742,2787277,2754456,2814630,2793054,2859930,2879859,2976219,2922896,2915111,2959007,2909371,2840434,2780638,2712492,2624313,2558186,2562224,2625007,2744047,2843223,2696223,2617596,2513042,2512447,2554373,2665787,2666245,2623397,2626233,2539279,2393773,2340799,2300588,2154135,2024780,1958835,1809799,1729491,1564188,1493718,1422717,1289315,1272522,1021292,768827,704969,630989,565144,428157,324835,256281,202215,160119,118800,93658,56966,36122,34096,21594,10505,3787,9433
2030,36738.81,24952.935,6766.1135,5949.549,-929.787500000004,19468.305,16015.7225,2508.422755,1239.5535,2962.3255,2607.14425,4068.1835,36393.7425,1.09269795630981,1.10519647455306,1.12034775635752,1.1046675778103,1.1203238943645,1.1054772381906,1.10450140074791,1.20449147802744,4.37653975,61.632265,168.326125,163.31845,3.850999,3.10631275,3.3017425,3.533,,,,450.154,96.951,59.794,92.488,110.892,8689.218,2085.818,5275.851,2071.613,2253.52,950.718,1327.549,3736886,3753178,3772632,3789385,3800853,3805719,3799693,3887580,3864150,3797274,3950779,4006387,4093650,4224455,4282538,4309373,4261477,4273814,4276578,4340996,4303678,4440056,4358948,4228792,3937074,3778936,3519378,3280499,3074095,2958579,2633577,2572499,2415248,2376645,2258698,2259818,2320191,2334005,2330014,2269372,2309994,2205814,2079595,2085123,2007322,1897698,1763677,1838898,1736813,1714644,1547921,1450081,1461625,1372954,1391038,1458762,1362297,1436834,1481295,1538302,1468998,1416702,1455401,1476261,1500593,1531743,1536842,1562984,1498285,1582021,1570335,1543379,1517105,1517817,1487700,1433404,1388569,1329594,1273429,1146055,1069711,1099114,1068162,956374,731672,707748,696730,606174,513913,460716,386344,354083,295954,241359,184516,144774,111517,83156,62423,52471,98953,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11168,34441,48633,84599,183540,232193,380972,485856,711057,878241,1147503,1378339,1624934,1851697,2098278,2200691,2322917,2425825,2596607,2669034,2685314,2782559,2822377,2977134,2819314,2825783,2843440,2808074,2901932,2909176,2975600,2942413,2895700,2941243,2908349,2832794,2765606,2693992,2626276,2533028,2542167,2588633,2702897,2813075,2666156,2588775,2466305,2472555,2534741,2632129,2612653,2570747,2586910,2479453,2343751,2279852,2247350,2094706,1956871,1886401,1719562,1648647,1491733,1410991,1339588,1186557,1170901,948693,710047,627249,555919,495675,361396,275751,219434,163326,112262,83209,72982,48367,28618,24122,13725,3830,7743
2031,38151.325,26006.79,6994.84875,6114.43925,-964.753000000004,20239.99,16641.3875,2592.44645,1236.5505,3130.9805,2710.07925,4242.9795,37792.095,1.1126111207866,1.12692714310079,1.14540723910983,1.12654219305263,1.14537433664249,1.12718420743047,1.12643808393392,1.24590434036401,4.370992,61.553945,169.07315,164.05795,3.83681575,3.07493775,3.268692,3.565,,,,455.777,95.209,62.863,94.793,163.087,9066.92,2130.285,5519.653,2179.337,2375.334,964.982,1416.982,3725354,3741784,3761719,3781631,3798515,3809975,3814674,3808554,3896767,3872905,3805919,3959376,4014565,4101608,4234669,4293297,4312773,4246626,4280615,4258554,4271471,4239373,4337448,4214471,4028025,3708122,3578127,3300841,3087030,2849343,2776488,2479507,2434353,2331450,2294340,2223405,2221734,2266788,2293095,2287645,2255978,2251142,2178288,2080660,2067767,2000672,1908199,1762036,1843909,1732520,1705138,1549644,1459994,1447572,1369421,1377042,1443420,1362468,1428086,1484740,1537463,1452012,1421792,1458866,1466854,1493550,1527443,1531751,1553066,1480932,1569773,1556116,1534206,1503636,1514059,1476715,1442221,1385594,1310781,1241295,1121374,1043337,1073081,1027534,929123,709468,675044,648056,561439,474661,412341,343962,304341,254394,200179,148835,112923,85568,63250,46345,102050,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8116,38452,41411,81696,170638,265591,354150,546674,710091,963881,1104607,1390969,1597617,1875427,2060187,2279210,2366130,2433371,2535010,2657717,2731968,2761324,2844808,2881301,3007808,2893718,2866765,2852552,2832990,2913301,2899262,2972583,2929956,2887165,2937607,2891979,2807138,2763045,2682146,2623846,2529365,2521167,2573487,2670622,2781556,2649271,2547823,2423750,2441126,2498429,2589550,2567211,2526397,2545790,2429403,2292855,2219261,2184585,2019023,1883880,1787963,1629880,1569105,1422506,1330358,1254437,1094739,1082740,853796,628264,551775,491989,430025,303019,231623,176366,132223,83397,62715,54515,35441,19667,15628,8540,7829
2032,39626.7225,27103.075,7233.23575,6291.74125,-1001.3295,21031.155,17284.3825,2683.317195,1240.67175,3302.997,2815.42625,4440.575,39252.4375,1.13311350304053,1.14904289856347,1.17105574029418,1.14888301511708,1.17101926803992,1.14935113657026,1.14883012495871,1.28847935375376,4.362825,61.4843975,169.812025,164.766475,3.82672175,3.05123425,3.24278525,3.605,,,,467.897,95.295,66.627,97.294,179.996,9476.93,2174.697,5788.33,2288.683,2500.094,999.553,1513.903,3714408,3730375,3750437,3770905,3791060,3808118,3819595,3824126,3817856,3906344,3881967,3814824,3968264,4023139,4110010,4245440,4291622,4306139,4248484,4270001,4181842,4226256,4157955,4218257,4038838,3831393,3478343,3399482,3117544,2921834,2684827,2643380,2402152,2346118,2282051,2235543,2193627,2191978,2226978,2251455,2274499,2236825,2221411,2172391,2069869,2042797,1978131,1909554,1760158,1839257,1721788,1705582,1554759,1451601,1453730,1357619,1375762,1435101,1366758,1417891,1490920,1525605,1454044,1411095,1436536,1449478,1479344,1527578,1524729,1550002,1491153,1562169,1548878,1524816,1493550,1524720,1481609,1427344,1374252,1301515,1216935,1100733,1031750,1024690,991966,886592,671905,630709,601733,532171,423926,374010,302161,259936,214851,161074,117696,90850,62783,49042,102111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13156,27266,50392,67402,175050,234138,366843,495009,745878,932184,1219384,1310785,1600874,1790038,2066562,2220251,2383899,2481813,2509269,2620406,2712836,2785645,2822420,2906333,2909954,3042861,2936349,2882690,2869335,2861510,2936389,2894048,2965959,2923977,2882497,2921958,2870637,2798380,2738824,2676385,2606466,2516981,2494149,2557622,2632814,2757966,2610533,2519901,2404305,2416835,2468470,2539780,2520881,2472025,2474151,2371296,2230534,2153597,2112724,1923042,1789195,1707484,1542584,1473981,1338154,1238446,1148549,1019526,984183,768450,558202,486606,424873,349347,256565,179467,137221,101631,59035,46708,38599,20658,14668,7862,9006
2033,41154.23,28248.6725,7468.3155,6476.622,-1039.38,21842.505,17941.075,2783.6848725,1258.53425,3454.783,2923.3965,4633.56675,40767.865,1.15381453345692,1.17156770982829,1.19732211042949,1.1716983364976,1.19727352002937,1.17198838377873,1.1717087796156,1.33210759620944,4.349228,61.42638,170.42735,165.425175,3.81544225,3.03653,3.22660425,3.616,,,,493.134,95.779,70.93,99.806,189.637,9885.721,2223.009,6058.17,2399.465,2652.386,1006.319,1604.542,3704313,3719549,3739078,3759721,3780509,3800947,3818199,3829694,3834011,3827520,3916213,3891280,3824002,3977537,4032220,4118979,4244843,4290069,4304076,4239015,4202927,4141688,4147286,4027420,4031989,3797608,3616152,3302616,3180909,2933898,2724103,2557850,2508015,2332171,2293096,2208228,2167458,2132124,2163090,2204829,2217864,2252310,2212966,2194766,2158894,2038018,2036402,1963787,1900748,1743156,1828649,1727448,1712219,1567644,1454935,1446140,1358699,1385734,1433636,1362619,1418052,1489928,1497958,1450776,1400870,1430398,1444459,1487410,1515420,1521555,1544012,1481370,1551667,1536305,1510415,1480744,1517638,1444248,1394402,1345792,1279553,1185321,1066502,1012285,1000737,950377,851375,626304,578004,553358,480782,385305,336436,261710,224019,171508,123880,88706,67244,49054,105327,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12101,27202,43223,75275,151468,233627,333493,519541,705301,1012623,1174724,1422738,1558541,1812502,2015868,2220717,2383035,2481346,2562138,2609295,2714606,2798719,2837136,2864313,2958809,2946257,3079961,2972452,2902054,2903209,2867284,2946790,2895177,2971229,2921426,2859417,2898501,2840104,2776515,2726165,2655520,2576137,2495831,2473448,2528747,2599253,2747268,2574299,2488869,2367904,2379382,2413587,2499530,2467579,2417669,2419172,2311589,2168266,2087335,2037682,1838865,1730999,1638912,1466330,1383805,1253426,1154082,1044753,914692,885143,671076,494782,428913,360173,291071,199929,131278,102518,69432,45167,35938,28832,14889,6880,8094
2034,42727.63,29442.6,7704.39175,6662.886,-1082.24775,22677.575,18623.93,2890.321495,1287.9785,3629.0175,3034.6235,4823.117,42330.435,1.1745583415464,1.19451346229387,1.22422241223711,1.19500572603736,1.22416428328923,1.19511824148698,1.19502169445079,1.37733580531201,4.33462775,61.38672,171.0451,166.082525,3.79712225,3.02567125,3.2148695,3.604,,,,503.378,95.177,75.564,102.332,201.177,10294.397,2271.158,6329.68,2510.597,2787.328,1031.755,1693.559,3695247,3709567,3728300,3748399,3769415,3790559,3811296,3828737,3840208,3844256,3837453,3926319,3900858,3833548,3987302,4041929,4116679,4234262,4291018,4293681,4175212,4156171,4045474,3997234,3862504,3831199,3573988,3401167,3112533,2986474,2784931,2561092,2422534,2433854,2289775,2269896,2168096,2140914,2119910,2139556,2182072,2176014,2229384,2177196,2185437,2130917,2022378,2047419,1958533,1885564,1737066,1832340,1717645,1711814,1564325,1459434,1441620,1368624,1390262,1413966,1347674,1426995,1486788,1496956,1444659,1384850,1411500,1438352,1489621,1514511,1524977,1538059,1485776,1532702,1526464,1487225,1464511,1502201,1428021,1379805,1307712,1258141,1142909,1011449,973060,963865,923177,812112,591085,538706,501228,446224,341633,292913,225791,177461,138204,99284,70896,50490,106464,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12017,35216,40137,69140,156107,217002,350368,506262,708976,932057,1263541,1418902,1642025,1783499,1990279,2207531,2383669,2484738,2551027,2612356,2675134,2766291,2833961,2881739,2905720,3018202,2980635,3125527,2987068,2931978,2916750,2851167,2944248,2899487,2963014,2902588,2850233,2880628,2824377,2751366,2708213,2624124,2549338,2490752,2460960,2488296,2565094,2707067,2538232,2462913,2343520,2340453,2361897,2444954,2404810,2359962,2345584,2255003,2097663,2024039,1960119,1757182,1645469,1545720,1391755,1285020,1173209,1084657,955492,816325,766278,575917,420010,358079,299281,217952,153259,95109,70118,54904,28598,21000,15734,8871,7911
