year,month,receipts
2006,6,2026
2006,7,2014
2006,8,2302
2006,9,2390
2006,10,2313
2006,11,1780
2006,12,2193
2007,1,2303
2007,2,1446
2007,3,2032
2007,4,3746
2007,5,2133
2007,6,1778
2007,7,1847
2007,8,2311
2007,9,2161
2007,10,2413
2007,11,2057
2007,12,2460
2008,1,2336
2008,2,1820
2008,3,2405
2008,4,4630
2008,5,1994
2008,6,2298
2008,7,2536
2008,8,1851
2008,9,2044
2008,10,2097
2008,11,2274
2008,12,2186
2009,1,2387
2009,2,1244
2009,3,1919
2009,4,3976
2009,5,1457
2009,6,983
2009,7,1926
2009,8,1396
2009,9,1637
2009,10,1556
2009,11,1049
2009,12,1361
2010,1,1485
2010,2,1064
2010,3,2829
2010,4,3250
2010,5,1133
2010,6,1370
2010,7,1398
2010,8,1281
2010,9,1108
2010,10,281
2010,11,225
2010,12,218
2011,1,-804
2011,2,134
2011,3,121
2011,4,6191
2011,5,262
2011,6,190
2011,7,179
2011,8,157
2011,9,245
2011,10,1021
2011,11,967
2011,12,1003
2012,1,947
2012,2,1278
2012,3,941
2012,4,2558
2012,5,932
2012,6,860
2012,7,1011
2012,8,1506
2012,9,947
2012,10,1143
2012,11,893
2012,12,1178
2013,1,1130
2013,2,1027
2013,3,1126
2013,4,5888
2013,5,1333
2013,6,1233
2013,7,1577
2013,8,1253
2013,9,1129
2013,10,1772
2013,11,2109
2013,12,1406
2014,1,1248
2014,2,1062
2014,3,1152
2014,4,2402
2014,5,1432
2014,6,1353
2014,7,2228
2014,8,1539
2014,9,1599
2014,10,1418
2014,11,1508
2014,12,1990
2015,1,1344
2015,2,1008
2015,3,1642
2015,4,3245
2015,5,1703
2015,6,1254
2015,7,1311
2015,8,1265
2015,9,1544
2015,10,2132
2015,11,1713
2015,12,2188
2016,1,1270
2016,2,1320
2016,3,1601
2016,4,3148
2016,5,1492
2016,6,1678
2016,7,1571
2016,8,1762
2016,9,1479
2016,10,1326
2016,11,1550
2016,12,1931
2017,1,2427
2017,2,1082
2017,3,1976
2017,4,4198
2017,5,2015
2017,6,1459
2017,7,1445
2017,8,1765
2017,9,1596
2017,10,1615
2017,11,1931
2017,12,1721
2018,1,2283
2018,2,2104
2018,3,1461
2018,4,2600
2018,5,1650
2018,6,1612
2018,7,1783
2018,8,1932
2018,9,2290
2018,10,1954
2018,11,1405
2018,12,1675
2019,1,1092
2019,2,1229
2019,3,935
2019,4,2270
2019,5,788
2019,6,1087
2019,7,1158
2019,8,1877
2019,9,1201
2019,10,1691
2019,11,1239
2019,12,1698
2020,1,2361
2020,2,1584
2020,3,1217
2020,4,13
2020,5,736
2020,6,630
2020,7,2871
2020,8,1436
2020,9,2149
2020,10,2149
2020,11,1839
2020,12,2212
2021,1,1680
2021,2,1152
2021,3,2448
2021,4,4576
2021,5,3036
2021,6,2385
2021,7,1503
2021,8,1728
2021,9,2433
2021,10,2458
2021,11,1804
2021,12,2353
2022,1,2336
2022,2,1710
2022,3,3615
2022,4,4184
2022,5,3173
2022,6,2399
2022,7,2630
2022,8,2426
2022,9,3462
2022,10,2806
2022,11,2618
2022,12,1611
2023,1,2099
2023,2,9646
2023,3,2294
2023,4,1960
2023,5,3142
2023,6,1656
2023,7,1131
2023,8,2877
2023,9,1830
2023,10,4460
2023,11,2321
2023,12,1654
2024,1,3073
2024,2,1550
2024,3,1761
2024,4,4175
