year,month,receipts
1982,1,615
1982,2,867
1982,3,786
1982,4,582
1982,5,612
1982,6,746
1982,7,624
1982,8,680
1982,9,596
1982,10,500
1982,11,473
1982,12,572
1983,1,552
1983,2,349
1983,3,501
1983,4,458
1983,5,492
1983,6,531
1983,7,559
1983,8,513
1983,9,553
1983,10,488
1983,11,453
1983,12,485
1984,1,488
1984,2,570
1984,3,523
1984,4,505
1984,5,550
1984,6,466
1984,7,476
1984,8,558
1984,9,448
1984,10,582
1984,11,495
1984,12,469
1985,1,605
1985,2,504
1985,3,498
1985,4,603
1985,5,566
1985,6,429
1985,7,614
1985,8,560
1985,9,497
1985,10,574
1985,11,564
1985,12,513
1986,1,588
1986,2,486
1986,3,533
1986,4,680
1986,5,686
1986,6,513
1986,7,612
1986,8,608
1986,9,599
1986,10,647
1986,11,488
1986,12,695
1987,1,652
1987,2,553
1987,3,570
1987,4,810
1987,5,726
1987,6,507
1987,7,671
1987,8,587
1987,9,587
1987,10,608
1987,11,617
1987,12,540
1988,1,531
1988,2,566
1988,3,622
1988,4,749
1988,5,751
1988,6,644
1988,7,627
1988,8,661
1988,9,678
1988,10,662
1988,11,753
1988,12,673
1989,1,687
1989,2,498
1989,3,723
1989,4,1146
1989,5,793
1989,6,736
1989,7,689
1989,8,753
1989,9,631
1989,10,835
1989,11,693
1989,12,850
1990,1,805
1990,2,664
1990,3,769
1990,4,2307
1990,5,1045
1990,6,852
1990,7,924
1990,8,883
1990,9,875
1990,10,1065
1990,11,845
1990,12,741
1991,1,906
1991,2,772
1991,3,864
1991,4,1546
1991,5,835
1991,6,708
1991,7,1065
1991,8,853
1991,9,939
1991,10,923
1991,11,984
1991,12,757
1992,1,930
1992,2,733
1992,3,879
1992,4,1477
1992,5,853
1992,6,842
1992,7,962
1992,8,827
1992,9,1004
1992,10,1027
1992,11,954
1992,12,959
1993,1,888
1993,2,822
1993,3,977
1993,4,1898
1993,5,1009
1993,6,900
1993,7,944
1993,8,1150
1993,9,1049
1993,10,990
1993,11,1305
1993,12,1179
1994,1,1105
1994,2,1093
1994,3,1211
1994,4,2378
1994,5,1342
1994,6,1068
1994,7,1060
1994,8,1239
1994,9,1254
1994,10,1206
1994,11,1220
1994,12,1096
1995,1,1005
1995,2,916
1995,3,1218
1995,4,1906
1995,5,1339
1995,6,1040
1995,7,1037
1995,8,1500
1995,9,1289
1995,10,1160
1995,11,1349
1995,12,1383
1996,1,1288
1996,2,1090
1996,3,1137
1996,4,2704
1996,5,1415
1996,6,1141
1996,7,1259
1996,8,1566
1996,9,1698
1996,10,1547
1996,11,1394
1996,12,1371
1997,1,1615
1997,2,1180
1997,3,1468
1997,4,3308
1997,5,1412
1997,6,1494
1997,7,1552
1997,8,1655
1997,9,1849
1997,10,2198
1997,11,1510
1997,12,1498
1998,1,1808
1998,2,1500
1998,3,1845
1998,4,4198
1998,5,1845
1998,6,1775
1998,7,1825
1998,8,1718
1998,9,2356
1998,10,2089
1998,11,2132
1998,12,2239
1999,1,2206
1999,2,1600
1999,3,2172
1999,4,5138
1999,5,1942
1999,6,1857
1999,7,1938
1999,8,2175
1999,9,2294
1999,10,2554
1999,11,2465
1999,12,2575
2000,1,2116
2000,2,1768
2000,3,2379
2000,4,4243
2000,5,2480
2000,6,2087
2000,7,1872
2000,8,2304
2000,9,2168
2000,10,2868
2000,11,2141
2000,12,1863
2001,1,2403
2001,2,1879
2001,3,2206
2001,4,4460
2001,5,2466
2001,6,2058
2001,7,2099
2001,8,2196
2001,9,1761
2001,10,2488
2001,11,2204
2001,12,1895
2002,1,2389
2002,2,1881
2002,3,2074
2002,4,3297
2002,5,1912
2002,6,1990
2002,7,2384
2002,8,2051
2002,9,1943
2002,10,2017
2002,11,1655
2002,12,1885
2003,1,2000
2003,2,1561
2003,3,1941
2003,4,2737
2003,5,1575
2003,6,1406
2003,7,1773
2003,8,1491
2003,9,1919
2003,10,2191
2003,11,1777
2003,12,1818
2004,1,2034
2004,2,1590
2004,3,2159
2004,4,2705
2004,5,1919
2004,6,1862
2004,7,2205
2004,8,2295
2004,9,2278
2004,10,1968
2004,11,2069
2004,12,1689
2005,1,2201
2005,2,1854
2005,3,2018
2005,4,2845
2005,5,1907
2005,6,1846
2005,7,1715
2005,8,2203
2005,9,2451
2005,10,2053
2005,11,2165
2005,12,1943
2006,1,1857
2006,2,1724
2006,3,3972
2006,4,2853
2006,5,2576
