Entity,Code,Day,projected_deaths_since_2020_all_ages,deaths_since_2020_all_ages
Algeria,DZA,3/31/2021,16193,
Algeria,DZA,4/30/2021,15219,
Algeria,DZA,5/31/2021,15208,
Algeria,DZA,6/30/2021,14845,
Algeria,DZA,7/31/2021,15625,
Algeria,DZA,8/31/2021,15619.5,
Algeria,DZA,9/30/2021,14662.5,
Algeria,DZA,10/31/2021,15654.5,
Algeria,DZA,11/30/2021,15872,
Algeria,DZA,12/31/2021,16885.5,
Algeria,DZA,1/31/2022,18351,
Algeria,DZA,2/28/2022,16624.5,
Algeria,DZA,3/31/2022,16551.5,
Algeria,DZA,4/30/2022,15577.5,
Algeria,DZA,5/31/2022,15566.5,
Algeria,DZA,6/30/2022,15203.5,
Algeria,DZA,7/31/2022,15983.5,
Algeria,DZA,8/31/2022,15978,
Algeria,DZA,9/30/2022,15021,
Algeria,DZA,10/31/2022,16013,
Algeria,DZA,11/30/2022,16230.5,
Algeria,DZA,12/31/2022,17244,
Algeria,DZA,1/31/2023,18709.6,
Algeria,DZA,2/28/2023,16983.1,
Algeria,DZA,3/31/2023,16910.1,
Algeria,DZA,4/30/2023,15936.1,
Algeria,DZA,5/31/2023,15925.1,
Algeria,DZA,6/30/2023,15562.1,
Algeria,DZA,7/31/2023,16342.1,
Algeria,DZA,8/31/2023,16336.6,
Algeria,DZA,9/30/2023,15379.6,
Algeria,DZA,10/31/2023,16371.6,
Algeria,DZA,11/30/2023,16589.1,
Algeria,DZA,12/31/2023,17602.6,
Andorra,AND,1/31/2020,34.6,34
Andorra,AND,2/29/2020,28,37
Andorra,AND,3/31/2020,32.4,40
Andorra,AND,4/30/2020,24.4,60
Andorra,AND,5/31/2020,21.6,36
Andorra,AND,6/30/2020,25.8,26
Andorra,AND,7/31/2020,27.4,29
Andorra,AND,8/31/2020,25.2,19
Andorra,AND,9/30/2020,25.2,27
Andorra,AND,10/31/2020,27.4,51
Andorra,AND,11/30/2020,26.2,19
Andorra,AND,12/31/2020,31.2,41
Andorra,AND,1/31/2021,35.1,52
Andorra,AND,2/28/2021,28.5,36
Andorra,AND,3/31/2021,32.9,26
Andorra,AND,4/30/2021,24.9,43
Andorra,AND,5/31/2021,22.1,32
Andorra,AND,6/30/2021,26.3,19
Andorra,AND,7/31/2021,27.9,29
Andorra,AND,8/31/2021,25.7,28
Andorra,AND,9/30/2021,25.7,26
Andorra,AND,10/31/2021,27.9,27
Andorra,AND,11/30/2021,26.7,26
Andorra,AND,12/31/2021,31.7,42
Andorra,AND,1/31/2022,35.6,
Andorra,AND,2/28/2022,29,
Andorra,AND,3/31/2022,33.4,
Andorra,AND,4/30/2022,25.4,
Andorra,AND,5/31/2022,22.6,
Andorra,AND,6/30/2022,26.8,
Andorra,AND,7/31/2022,28.4,
Andorra,AND,8/31/2022,26.2,
Andorra,AND,9/30/2022,26.2,
Andorra,AND,10/31/2022,28.4,
Andorra,AND,11/30/2022,27.2,
Andorra,AND,12/31/2022,32.2,
Andorra,AND,1/31/2023,36.1,
Andorra,AND,2/28/2023,29.5,
Andorra,AND,3/31/2023,33.9,
Andorra,AND,4/30/2023,25.9,
Andorra,AND,5/31/2023,23.1,
Andorra,AND,6/30/2023,27.3,
Andorra,AND,7/31/2023,28.9,
Andorra,AND,8/31/2023,26.7,
Andorra,AND,9/30/2023,26.7,
Andorra,AND,10/31/2023,28.9,
Andorra,AND,11/30/2023,27.7,
Andorra,AND,12/31/2023,32.7,
Antigua and Barbuda,ATG,1/31/2020,46.9,50
Antigua and Barbuda,ATG,2/29/2020,55.5,47
Antigua and Barbuda,ATG,3/31/2020,59.9,60
Antigua and Barbuda,ATG,4/30/2020,49.3,49
Antigua and Barbuda,ATG,5/31/2020,51.1,52
Antigua and Barbuda,ATG,6/30/2020,51.1,42
Antigua and Barbuda,ATG,7/31/2020,47.1,46
Antigua and Barbuda,ATG,8/31/2020,59.1,44
Antigua and Barbuda,ATG,9/30/2020,52.5,45
Antigua and Barbuda,ATG,10/31/2020,56.5,50
Antigua and Barbuda,ATG,11/30/2020,52.7,49
Antigua and Barbuda,ATG,12/31/2020,50.1,40
Antigua and Barbuda,ATG,1/31/2021,48.6,56
Antigua and Barbuda,ATG,2/28/2021,57.2,68
Antigua and Barbuda,ATG,3/31/2021,61.6,55
Antigua and Barbuda,ATG,4/30/2021,51,50
Antigua and Barbuda,ATG,5/31/2021,52.8,46
Antigua and Barbuda,ATG,6/30/2021,52.8,39
Antigua and Barbuda,ATG,7/31/2021,48.8,55
Antigua and Barbuda,ATG,8/31/2021,60.8,47
Antigua and Barbuda,ATG,9/30/2021,54.2,104
Antigua and Barbuda,ATG,10/31/2021,58.2,26
Antigua and Barbuda,ATG,11/30/2021,54.4,64
Antigua and Barbuda,ATG,12/31/2021,51.8,39
Antigua and Barbuda,ATG,1/31/2022,50.3,
Antigua and Barbuda,ATG,2/28/2022,58.9,
Antigua and Barbuda,ATG,3/31/2022,63.3,
Antigua and Barbuda,ATG,4/30/2022,52.7,
Antigua and Barbuda,ATG,5/31/2022,54.5,
Antigua and Barbuda,ATG,6/30/2022,54.5,
Antigua and Barbuda,ATG,7/31/2022,50.5,
Antigua and Barbuda,ATG,8/31/2022,62.5,
Antigua and Barbuda,ATG,9/30/2022,55.9,
Antigua and Barbuda,ATG,10/31/2022,59.9,
Antigua and Barbuda,ATG,11/30/2022,56.1,
Antigua and Barbuda,ATG,12/31/2022,53.5,
Antigua and Barbuda,ATG,1/31/2023,51.9,
Antigua and Barbuda,ATG,2/28/2023,60.5,
Antigua and Barbuda,ATG,3/31/2023,64.9,
Antigua and Barbuda,ATG,4/30/2023,54.3,
Antigua and Barbuda,ATG,5/31/2023,56.1,
Antigua and Barbuda,ATG,6/30/2023,56.1,
Antigua and Barbuda,ATG,7/31/2023,52.1,
Antigua and Barbuda,ATG,8/31/2023,64.1,
Antigua and Barbuda,ATG,9/30/2023,57.5,
Antigua and Barbuda,ATG,10/31/2023,61.5,
Antigua and Barbuda,ATG,11/30/2023,57.7,
Antigua and Barbuda,ATG,12/31/2023,55.1,
Argentina,ARG,1/31/2020,26546.5,25870
Argentina,ARG,2/29/2020,23877.9,24405
Argentina,ARG,3/31/2020,26044.1,26072
Argentina,ARG,4/30/2020,25996.5,24941
Argentina,ARG,5/31/2020,29426.5,26927
Argentina,ARG,6/30/2020,33231.9,28365
Argentina,ARG,7/31/2020,34508.1,35340
Argentina,ARG,8/31/2020,31925.5,37222
Argentina,ARG,9/30/2020,29315.5,40543
Argentina,ARG,10/31/2020,28196.1,40941
Argentina,ARG,11/30/2020,25610.9,34895
Argentina,ARG,12/31/2020,26806.3,32073
Argentina,ARG,1/31/2021,26549.2,34758
Argentina,ARG,2/28/2021,23880.6,29502
Argentina,ARG,3/31/2021,26046.8,32075
Argentina,ARG,4/30/2021,25999.2,40088
Argentina,ARG,5/31/2021,29429.2,51642
Argentina,ARG,6/30/2021,33234.6,51254
Argentina,ARG,7/31/2021,34510.8,44049
Argentina,ARG,8/31/2021,31928.2,37169
Argentina,ARG,9/30/2021,29318.2,29466
Argentina,ARG,10/31/2021,28198.8,29051
Argentina,ARG,11/30/2021,25613.6,27263
Argentina,ARG,12/31/2021,26809,29835
Argentina,ARG,1/31/2022,26551.9,48279
Argentina,ARG,2/28/2022,23883.3,33956
Argentina,ARG,3/31/2022,26049.5,30774
Argentina,ARG,4/30/2022,26001.9,29993
Argentina,ARG,5/31/2022,29431.9,31951
Argentina,ARG,6/30/2022,33237.3,35411
Argentina,ARG,7/31/2022,34513.5,35903
Argentina,ARG,8/31/2022,31930.9,32670
Argentina,ARG,9/30/2022,29320.9,29706
Argentina,ARG,10/31/2022,28201.5,29679
Argentina,ARG,11/30/2022,25616.3,27612
Argentina,ARG,12/31/2022,26811.7,31181
Argentina,ARG,1/31/2023,26554.7,
Argentina,ARG,2/28/2023,23886.1,
Argentina,ARG,3/31/2023,26052.3,
Argentina,ARG,4/30/2023,26004.7,
Argentina,ARG,5/31/2023,29434.7,
Argentina,ARG,6/30/2023,33240.1,
Argentina,ARG,7/31/2023,34516.3,
Argentina,ARG,8/31/2023,31933.7,
Argentina,ARG,9/30/2023,29323.7,
Argentina,ARG,10/31/2023,28204.3,
Argentina,ARG,11/30/2023,25619.1,
Argentina,ARG,12/31/2023,26814.5,
Armenia,ARM,1/31/2020,2585.9,2567
Armenia,ARM,2/29/2020,2238.5,2434
Armenia,ARM,3/31/2020,2307.9,2288
Armenia,ARM,4/30/2020,2078.7,2156
Armenia,ARM,5/31/2020,2112.7,2103
Armenia,ARM,6/30/2020,1936.5,2869
Armenia,ARM,7/31/2020,2009.9,2719
Armenia,ARM,8/31/2020,1941.5,2106
Armenia,ARM,9/30/2020,1669.9,2042
Armenia,ARM,10/31/2020,1973.5,3632
Armenia,ARM,11/30/2020,2175.1,6060
Armenia,ARM,12/31/2020,2316.9,4395
Armenia,ARM,1/31/2021,2538.7,3013
Armenia,ARM,2/28/2021,2191.3,2418
Armenia,ARM,3/31/2021,2260.7,2836
Armenia,ARM,4/30/2021,2031.5,3361
Armenia,ARM,5/31/2021,2065.5,2633
Armenia,ARM,6/30/2021,1889.3,2290
Armenia,ARM,7/31/2021,1962.7,2247
Armenia,ARM,8/31/2021,1894.3,2241
Armenia,ARM,9/30/2021,1622.7,2559
Armenia,ARM,10/31/2021,1926.3,3462
Armenia,ARM,11/30/2021,2127.9,4577
Armenia,ARM,12/31/2021,2269.7,3001
Armenia,ARM,1/31/2022,2491.4,2676
Armenia,ARM,2/28/2022,2144,3239
Armenia,ARM,3/31/2022,2213.4,2679
Armenia,ARM,4/30/2022,1984.2,1993
Armenia,ARM,5/31/2022,2018.2,2100
Armenia,ARM,6/30/2022,1842,1879
Armenia,ARM,7/31/2022,1915.4,1869
Armenia,ARM,8/31/2022,1847,2006
Armenia,ARM,9/30/2022,1575.4,2045
Armenia,ARM,10/31/2022,1879,1982
Armenia,ARM,11/30/2022,2080.6,2055
Armenia,ARM,12/31/2022,2222.4,2169
Armenia,ARM,1/31/2023,2444.2,2495
Armenia,ARM,2/28/2023,2096.8,2056
Armenia,ARM,3/31/2023,2166.2,2220
Armenia,ARM,4/30/2023,1937,1951
Armenia,ARM,5/31/2023,1971,1985
Armenia,ARM,6/30/2023,1794.8,1773
Armenia,ARM,7/31/2023,1868.2,1793
Armenia,ARM,8/31/2023,1799.8,2136
Armenia,ARM,9/30/2023,1528.2,1706
Armenia,ARM,10/31/2023,1831.8,2045
Armenia,ARM,11/30/2023,2033.4,2032
Armenia,ARM,12/31/2023,2175.2,2121
Armenia,ARM,1/31/2024,,2571
Armenia,ARM,2/29/2024,,2343
Armenia,ARM,3/31/2024,,2190
Aruba,ABW,1/31/2020,57.7,69
Aruba,ABW,2/29/2020,57.5,56
Aruba,ABW,3/31/2020,57.9,74
Aruba,ABW,4/30/2020,59.3,60
Aruba,ABW,5/31/2020,62.1,47
Aruba,ABW,6/30/2020,51.9,60
Aruba,ABW,7/31/2020,54.5,47
Aruba,ABW,8/31/2020,55.3,63
Aruba,ABW,9/30/2020,51.3,82
Aruba,ABW,10/31/2020,55.3,71
Aruba,ABW,11/30/2020,58.7,57
Aruba,ABW,12/31/2020,60.7,57
Aruba,ABW,1/31/2021,56.9,68
Aruba,ABW,2/28/2021,56.7,87
Aruba,ABW,3/31/2021,57.1,80
Aruba,ABW,4/30/2021,58.5,95
Aruba,ABW,5/31/2021,61.3,69
Aruba,ABW,6/30/2021,51.1,45
Aruba,ABW,7/31/2021,53.7,70
Aruba,ABW,8/31/2021,54.5,120
Aruba,ABW,9/30/2021,50.5,92
Aruba,ABW,10/31/2021,54.5,93
Aruba,ABW,11/30/2021,57.9,78
Aruba,ABW,12/31/2021,59.9,67
Aruba,ABW,1/31/2022,56.2,
Aruba,ABW,2/28/2022,56,
Aruba,ABW,3/31/2022,56.4,
Aruba,ABW,4/30/2022,57.8,
Aruba,ABW,5/31/2022,60.6,
Aruba,ABW,6/30/2022,50.4,
Aruba,ABW,7/31/2022,53,
Aruba,ABW,8/31/2022,53.8,
Aruba,ABW,9/30/2022,49.8,
Aruba,ABW,10/31/2022,53.8,
Aruba,ABW,11/30/2022,57.2,
Aruba,ABW,12/31/2022,59.2,
Aruba,ABW,1/31/2023,55.4,
Aruba,ABW,2/28/2023,55.2,
Aruba,ABW,3/31/2023,55.6,
Aruba,ABW,4/30/2023,57,
Aruba,ABW,5/31/2023,59.8,
Aruba,ABW,6/30/2023,49.6,
Aruba,ABW,7/31/2023,52.2,
Aruba,ABW,8/31/2023,53,
Aruba,ABW,9/30/2023,49,
Aruba,ABW,10/31/2023,53,
Aruba,ABW,11/30/2023,56.4,
Aruba,ABW,12/31/2023,58.4,
Australia,AUS,1/5/2020,2969.2,2926
Australia,AUS,1/12/2020,2962.6,2902
Australia,AUS,1/19/2020,2932.6,2914
Australia,AUS,1/26/2020,2922.8,3007
Australia,AUS,2/2/2020,2893,2910
Australia,AUS,2/9/2020,2929.6,2917
Australia,AUS,2/16/2020,2914,3030
Australia,AUS,2/23/2020,2972.8,3059
Australia,AUS,3/1/2020,2948.2,3090
Australia,AUS,3/8/2020,2986.6,2996
Australia,AUS,3/15/2020,2924.2,2976
Australia,AUS,3/22/2020,2959.6,3095
Australia,AUS,3/29/2020,2976.6,3143
Australia,AUS,4/5/2020,2994,3217
Australia,AUS,4/12/2020,3039.4,3140
Australia,AUS,4/19/2020,3043.2,3084
Australia,AUS,4/26/2020,3034,3044
Australia,AUS,5/3/2020,3067.8,3031
Australia,AUS,5/10/2020,3187.6,3161
Australia,AUS,5/17/2020,3186.4,3150
Australia,AUS,5/24/2020,3262.2,3214
Australia,AUS,5/31/2020,3279.2,3178
Australia,AUS,6/7/2020,3349.2,3113
Australia,AUS,6/14/2020,3297.2,3128
Australia,AUS,6/21/2020,3326.6,3064
Australia,AUS,6/28/2020,3380,3058
Australia,AUS,7/5/2020,3457.6,3218
Australia,AUS,7/12/2020,3439.8,3197
Australia,AUS,7/19/2020,3526,3204
Australia,AUS,7/26/2020,3546.6,3332
Australia,AUS,8/2/2020,3502.6,3353
Australia,AUS,8/9/2020,3524,3398
Australia,AUS,8/16/2020,3572.4,3478
Australia,AUS,8/23/2020,3594.6,3310
Australia,AUS,8/30/2020,3603.6,3283
Australia,AUS,9/6/2020,3537.6,3290
Australia,AUS,9/13/2020,3453,3239
Australia,AUS,9/20/2020,3402.2,3100
Australia,AUS,9/27/2020,3281,3145
Australia,AUS,10/4/2020,3282.8,3183
Australia,AUS,10/11/2020,3236.4,3042
Australia,AUS,10/18/2020,3181.2,3002
Australia,AUS,10/25/2020,3117,2964
Australia,AUS,11/1/2020,3108.2,3036
Australia,AUS,11/8/2020,3059.2,3033
Australia,AUS,11/15/2020,3011.6,3132
Australia,AUS,11/22/2020,3041.8,3043
Australia,AUS,11/29/2020,3006,2957
Australia,AUS,12/6/2020,2970.4,3106
Australia,AUS,12/13/2020,3039.4,3007
Australia,AUS,12/20/2020,2996.8,3047
Australia,AUS,12/27/2020,2938.2,3067
Australia,AUS,1/3/2021,2938.2,2987
Australia,AUS,1/10/2021,2998.6,3029
Australia,AUS,1/17/2021,2992,2950
Australia,AUS,1/24/2021,2962,3148
Australia,AUS,1/31/2021,2952.2,2944
Australia,AUS,2/7/2021,2922.4,3068
Australia,AUS,2/14/2021,2959,2962
Australia,AUS,2/21/2021,2943.4,2934
Australia,AUS,2/28/2021,3002.2,3048
Australia,AUS,3/7/2021,2977.6,3069
Australia,AUS,3/14/2021,3016,3117
Australia,AUS,3/21/2021,2953.6,3084
Australia,AUS,3/28/2021,2989,3037
Australia,AUS,4/4/2021,3006,3094
Australia,AUS,4/11/2021,3023.4,2954
Australia,AUS,4/18/2021,3068.8,3251
Australia,AUS,4/25/2021,3072.6,3242
Australia,AUS,5/2/2021,3063.4,3272
Australia,AUS,5/9/2021,3097.2,3362
Australia,AUS,5/16/2021,3217,3362
Australia,AUS,5/23/2021,3215.8,3358
Australia,AUS,5/30/2021,3291.6,3507
Australia,AUS,6/6/2021,3308.6,3371
Australia,AUS,6/13/2021,3378.6,3556
Australia,AUS,6/20/2021,3326.6,3487
Australia,AUS,6/27/2021,3356,3451
Australia,AUS,7/4/2021,3409.4,3463
Australia,AUS,7/11/2021,3487,3539
Australia,AUS,7/18/2021,3469.2,3585
Australia,AUS,7/25/2021,3555.4,3612
Australia,AUS,8/1/2021,3576,3664
Australia,AUS,8/8/2021,3532,3464
Australia,AUS,8/15/2021,3553.4,3426
Australia,AUS,8/22/2021,3601.8,3494
Australia,AUS,8/29/2021,3624,3409
Australia,AUS,9/5/2021,3633,3481
Australia,AUS,9/12/2021,3567,3402
Australia,AUS,9/19/2021,3482.4,3478
Australia,AUS,9/26/2021,3431.6,3353
Australia,AUS,10/3/2021,3310.4,3513
Australia,AUS,10/10/2021,3312.2,3381
Australia,AUS,10/17/2021,3265.8,3338
Australia,AUS,10/24/2021,3210.6,3339
Australia,AUS,10/31/2021,3146.4,3303
Australia,AUS,11/7/2021,3137.6,3285
Australia,AUS,11/14/2021,3088.6,3152
Australia,AUS,11/21/2021,3041,3303
Australia,AUS,11/28/2021,3071.2,3232
Australia,AUS,12/5/2021,3035.4,3233
Australia,AUS,12/12/2021,2999.8,3143
Australia,AUS,12/19/2021,3068.8,3221
Australia,AUS,12/26/2021,3026.2,3324
Australia,AUS,1/2/2022,2967.6,3165
Australia,AUS,1/9/2022,3027.9,3333
Australia,AUS,1/16/2022,3021.3,3739
Australia,AUS,1/23/2022,2991.3,3892
Australia,AUS,1/30/2022,2981.5,3786
Australia,AUS,2/6/2022,2951.7,3744
Australia,AUS,2/13/2022,2988.3,3566
Australia,AUS,2/20/2022,2972.7,3416
Australia,AUS,2/27/2022,3031.5,3411
Australia,AUS,3/6/2022,3006.9,3381
Australia,AUS,3/13/2022,3045.3,3213
Australia,AUS,3/20/2022,2982.9,3350
Australia,AUS,3/27/2022,3018.3,3348
Australia,AUS,4/3/2022,3035.3,3418
Australia,AUS,4/10/2022,3052.7,3450
Australia,AUS,4/17/2022,3098.1,3378
Australia,AUS,4/24/2022,3101.9,3483
Australia,AUS,5/1/2022,3092.7,3493
Australia,AUS,5/8/2022,3126.5,3677
Australia,AUS,5/15/2022,3246.3,3797
Australia,AUS,5/22/2022,3245.1,3656
Australia,AUS,5/29/2022,3320.9,3773
Australia,AUS,6/5/2022,3337.9,3916
Australia,AUS,6/12/2022,3407.9,4036
Australia,AUS,6/19/2022,3355.9,4136
Australia,AUS,6/26/2022,3385.3,4004
Australia,AUS,7/3/2022,3438.7,3913
Australia,AUS,7/10/2022,3516.3,4111
Australia,AUS,7/17/2022,3498.5,4124
Australia,AUS,7/24/2022,3584.7,4147
Australia,AUS,7/31/2022,3605.3,4163
Australia,AUS,8/7/2022,3561.3,4208
Australia,AUS,8/14/2022,3582.7,4122
Australia,AUS,8/21/2022,3631.1,3930
Australia,AUS,8/28/2022,3653.3,3882
Australia,AUS,9/4/2022,3662.3,3723
Australia,AUS,9/11/2022,3596.3,3774
Australia,AUS,9/18/2022,3511.7,3692
Australia,AUS,9/25/2022,3460.9,3678
Australia,AUS,10/2/2022,3339.7,3407
Australia,AUS,10/9/2022,3341.5,3499
Australia,AUS,10/16/2022,3295.1,3457
Australia,AUS,10/23/2022,3239.9,3524
Australia,AUS,10/30/2022,3175.7,3308
Australia,AUS,11/6/2022,3166.9,3378
Australia,AUS,11/13/2022,3117.9,3488
Australia,AUS,11/20/2022,3070.3,3433
Australia,AUS,11/27/2022,3100.5,3478
Australia,AUS,12/4/2022,3064.7,3420
Australia,AUS,12/11/2022,3029.1,3582
Australia,AUS,12/18/2022,3098.1,3513
Australia,AUS,12/25/2022,3055.5,3557
Australia,AUS,1/1/2023,2996.9,3417
Australia,AUS,1/8/2023,3057.2,3490
Australia,AUS,1/15/2023,3050.6,3283
Australia,AUS,1/22/2023,3020.6,3325
Australia,AUS,1/29/2023,3010.8,3221
Australia,AUS,2/5/2023,2981,3365
Australia,AUS,2/12/2023,3017.6,3206
Australia,AUS,2/19/2023,3002,3290
Australia,AUS,2/26/2023,3060.8,3233
Australia,AUS,3/5/2023,3036.2,3292
Australia,AUS,3/12/2023,3074.6,3373
Australia,AUS,3/19/2023,3012.2,3408
Australia,AUS,3/26/2023,3047.6,3319
Australia,AUS,4/2/2023,3064.6,3297
Australia,AUS,4/9/2023,3082,3274
Australia,AUS,4/16/2023,3127.4,3473
Australia,AUS,4/23/2023,3131.2,3528
Australia,AUS,4/30/2023,3122,3496
Australia,AUS,5/7/2023,3155.8,3527
Australia,AUS,5/14/2023,3275.6,3767
Australia,AUS,5/21/2023,3274.4,3802
Australia,AUS,5/28/2023,3350.2,3829
Australia,AUS,6/4/2023,3367.2,3931
Australia,AUS,6/11/2023,3437.2,3708
Australia,AUS,6/18/2023,3385.2,3628
Australia,AUS,6/25/2023,3414.6,3852
Australia,AUS,7/2/2023,3468,3752
Australia,AUS,7/9/2023,3545.6,3823
Australia,AUS,7/16/2023,3527.8,3712
Australia,AUS,7/23/2023,3614,3729
Australia,AUS,7/30/2023,3634.6,3741
Australia,AUS,8/6/2023,3590.6,3637
Australia,AUS,8/13/2023,3612,3633
Australia,AUS,8/20/2023,3660.4,3682
Australia,AUS,8/27/2023,3682.6,3531
Australia,AUS,9/3/2023,3691.6,3504
Australia,AUS,9/10/2023,3625.6,3458
Australia,AUS,9/17/2023,3541,3548
Australia,AUS,9/24/2023,3490.2,3366
Australia,AUS,10/1/2023,3369,3442
Australia,AUS,10/8/2023,3370.8,3345
Australia,AUS,10/15/2023,3324.4,3529
Australia,AUS,10/22/2023,3269.2,3311
Australia,AUS,10/29/2023,3205,3305
Australia,AUS,11/5/2023,3196.2,3427
Australia,AUS,11/12/2023,3147.2,3502
Australia,AUS,11/19/2023,3099.6,3502
Australia,AUS,11/26/2023,3129.8,3361
Australia,AUS,12/3/2023,3094,3417
Australia,AUS,12/10/2023,3058.4,3379
Australia,AUS,12/17/2023,3127.4,3323
Australia,AUS,12/24/2023,3084.8,3368
Australia,AUS,12/31/2023,3026.2,3272
Australia,AUS,1/7/2024,,3398
Australia,AUS,1/14/2024,,3345
Australia,AUS,1/21/2024,,3283
Australia,AUS,1/28/2024,,3369
Austria,AUT,1/5/2020,1828.2,1607
Austria,AUT,1/12/2020,1876.2,1691
Austria,AUT,1/19/2020,1805.6,1791
Austria,AUT,1/26/2020,1766.2,1773
Austria,AUT,2/2/2020,1837.8,1941
Austria,AUT,2/9/2020,1856,1675
Austria,AUT,2/16/2020,1832,1714
Austria,AUT,2/23/2020,1841.2,1718
Austria,AUT,3/1/2020,1834.8,1761
Austria,AUT,3/8/2020,1772.8,1734
Austria,AUT,3/15/2020,1730.6,1714
Austria,AUT,3/22/2020,1617.2,1828
Austria,AUT,3/29/2020,1665,1756
Austria,AUT,4/5/2020,1604.6,1821
Austria,AUT,4/12/2020,1565.4,1794
Austria,AUT,4/19/2020,1542.6,1691
Austria,AUT,4/26/2020,1489.4,1580
Austria,AUT,5/3/2020,1483.8,1472
Austria,AUT,5/10/2020,1458.6,1516
Austria,AUT,5/17/2020,1482.2,1480
Austria,AUT,5/24/2020,1440.8,1477
Austria,AUT,5/31/2020,1433.6,1410
Austria,AUT,6/7/2020,1431.6,1483
Austria,AUT,6/14/2020,1462.6,1457
Austria,AUT,6/21/2020,1426.8,1406
Austria,AUT,6/28/2020,1419,1433
Austria,AUT,7/5/2020,1454.4,1554
Austria,AUT,7/12/2020,1396.6,1378
Austria,AUT,7/19/2020,1489,1439
Austria,AUT,7/26/2020,1508,1445
Austria,AUT,8/2/2020,1524,1522
Austria,AUT,8/9/2020,1445.4,1427
Austria,AUT,8/16/2020,1479.8,1603
Austria,AUT,8/23/2020,1453,1467
Austria,AUT,8/30/2020,1446,1488
Austria,AUT,9/6/2020,1396.4,1518
Austria,AUT,9/13/2020,1444,1562
Austria,AUT,9/20/2020,1442.2,1560
Austria,AUT,9/27/2020,1490.8,1531
Austria,AUT,10/4/2020,1529.6,1573
Austria,AUT,10/11/2020,1538.2,1620
Austria,AUT,10/18/2020,1524.4,1612
Austria,AUT,10/25/2020,1528.2,1772
Austria,AUT,11/1/2020,1532.2,1886
Austria,AUT,11/8/2020,1528.6,2004
Austria,AUT,11/15/2020,1571.6,2283
Austria,AUT,11/22/2020,1557.2,2401
Austria,AUT,11/29/2020,1565.4,2428
Austria,AUT,12/6/2020,1622.2,2544
Austria,AUT,12/13/2020,1626,2478
Austria,AUT,12/20/2020,1672.8,2255
Austria,AUT,12/27/2020,1754.4,2123
Austria,AUT,1/3/2021,1754.4,2000
Austria,AUT,1/10/2021,1834.6,1953
Austria,AUT,1/17/2021,1882.6,1954
Austria,AUT,1/24/2021,1812,2003
Austria,AUT,1/31/2021,1772.6,1940
Austria,AUT,2/7/2021,1844.2,1860
