Entity,Code,Day,projected_deaths_since_2020_all_ages,deaths_since_2020_all_ages
Albania,ALB,1/31/2020,2434.2,2187
Albania,ALB,2/29/2020,1961.6,2018
Albania,ALB,3/31/2020,1967.2,1993
Albania,ALB,4/30/2020,1734,1804
Albania,ALB,5/31/2020,1685,1803
Albania,ALB,6/30/2020,1614,1779
Albania,ALB,7/31/2020,1751.2,2166
Albania,ALB,8/31/2020,1694.6,2476
Albania,ALB,9/30/2020,1518.2,1982
Albania,ALB,10/31/2020,1651,2403
Albania,ALB,11/30/2020,1750.6,3854
Albania,ALB,12/31/2020,2031,3140
Albania,ALB,1/31/2021,2429.6,3002
Albania,ALB,2/28/2021,1957,3773
Albania,ALB,3/31/2021,1962.6,3447
Albania,ALB,4/30/2021,1729.4,2419
Albania,ALB,5/31/2021,1680.4,1874
Albania,ALB,6/30/2021,1609.4,1822
Albania,ALB,7/31/2021,1746.6,1820
Albania,ALB,8/31/2021,1690,2080
Albania,ALB,9/30/2021,1513.6,2506
Albania,ALB,10/31/2021,1646.4,2559
Albania,ALB,11/30/2021,1746,2506
Albania,ALB,12/31/2021,2026.4,2772
Albania,ALB,1/31/2022,2425.1,3294
Albania,ALB,2/28/2022,1952.5,2752
Albania,ALB,3/31/2022,1958.1,1892
Albania,ALB,4/30/2022,1724.9,1707
Albania,ALB,5/31/2022,1675.9,1675
Albania,ALB,6/30/2022,1604.9,1534
Albania,ALB,7/31/2022,1742.1,1988
Albania,ALB,8/31/2022,1685.5,1876
Albania,ALB,9/30/2022,1509.1,1266
Albania,ALB,10/31/2022,1641.9,1668
Albania,ALB,11/30/2022,1741.5,1672
Albania,ALB,12/31/2022,2021.9,1576
Albania,ALB,1/31/2023,2420.5,2161
Albania,ALB,2/28/2023,1947.9,1890
Albania,ALB,3/31/2023,1953.5,1506
Albania,ALB,4/30/2023,1720.3,1663
Albania,ALB,5/31/2023,1671.3,1680
Albania,ALB,6/30/2023,1600.3,1311
Albania,ALB,7/31/2023,1737.5,1994
Albania,ALB,8/31/2023,1680.9,1701
Albania,ALB,9/30/2023,1504.5,1309
Albania,ALB,10/31/2023,1637.3,1667
Albania,ALB,11/30/2023,1736.9,1663
Albania,ALB,12/31/2023,2017.3,1489
Algeria,DZA,1/31/2020,17633.9,17195
Algeria,DZA,2/29/2020,15907.4,15810
Algeria,DZA,3/31/2020,15834.4,15882
Algeria,DZA,4/30/2020,14860.4,15020
Algeria,DZA,5/31/2020,14849.4,14833
Algeria,DZA,6/30/2020,14486.4,18100
Algeria,DZA,7/31/2020,15266.4,32170
Algeria,DZA,8/31/2020,15260.9,23413
Algeria,DZA,9/30/2020,14303.9,17043
Algeria,DZA,10/31/2020,15295.9,18665
Algeria,DZA,11/30/2020,15513.4,26100
Algeria,DZA,12/31/2020,16526.9,21397
Algeria,DZA,1/31/2021,17992.5,
Algeria,DZA,2/28/2021,16266,
