fy,pre_tcja,tcja_leg
2017, 23.067 ,
2018,24.598,-0.908
2019,24.929,-7.26
2020,25.352,-7.923
2021,25.783,-8.159
2022,26.748,-8.575
2023,27.876,-8.987
2024,29.24,-9.466
